task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
routing-read-write-ledger,baseline,3,0,0,364314,269751.00,4380.00,0.00,0.00,196156.00,274350.67,195972.50,313631.50,195789.00,431107.00,0.00000000,1.34875500,0.10950000,1.05985500,1.45825500,1.05781750,1.65949250,1.05578000,2.25913000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
routing-read-write-ledger,tokenwarden,3,0,0,248137,91946.33,4580.33,0.00,0.00,94535.00,96880.00,73957.00,118630.50,53379.00,142726.00,0.00000000,0.45973167,0.11450833,0.55135000,0.57424000,0.44890250,0.68813250,0.34645500,0.82491500,142777.00,177470.67,66.89,63.80,0.71340000,0.88401500,63.49,59.52
routing-read-write-ledger,openslimedit,3,0,0,372975,377888.67,5449.33,0.00,0.00,299916.00,383665.67,264006.50,461450.00,228097.00,622984.00,0.00000000,1.88944333,0.13623333,1.58923000,2.02567667,1.40754000,2.42559000,1.22585000,3.26195000,-104127.00,-109315.00,-44.51,-37.99,-0.53345000,-0.56742167,-44.39,-36.86
routing-read-write-ledger,dcp,3,0,0,417123,254346.67,4817.67,0.00,0.00,246902.00,259330.33,226968.50,285478.00,207035.00,324054.00,0.00000000,1.27173333,0.12044167,1.33279500,1.39217500,1.23674000,1.51792000,1.14068500,1.70304500,-11246.00,15020.33,-5.74,-9.41,-0.08490500,0.06608000,-8.04,-9.24
routing-read-write-ledger,openrtk,3,0,0,378137,278597.33,4430.00,0.00,0.00,266621.00,283252.67,200261.00,357928.50,133901.00,449236.00,0.00000000,1.39298667,0.11075000,1.41927000,1.50373667,1.08485250,1.88038750,0.75043500,2.34150500,-18129.00,-8902.00,-4.21,-2.88,-0.08237500,-0.04548167,-3.65,-2.96
helper-read-write-ledger,baseline,3,0,0,318673,204921.33,4383.67,0.00,0.00,199644.00,209768.33,198265.50,216209.00,196887.00,232774.00,0.00000000,1.02460667,0.10959167,1.08577500,1.13419833,1.07552250,1.16866250,1.06527000,1.25155000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
helper-read-write-ledger,tokenwarden,3,0,0,264357,189582.33,4794.00,0.00,0.00,214933.00,194752.33,183316.00,216279.00,151699.00,217625.00,0.00000000,0.94791167,0.11985000,1.16198000,1.06776167,1.00693750,1.17569500,0.85189500,1.18941000,-15289.00,15016.00,-7.66,5.55,-0.07620500,0.06643667,-7.02,4.42
helper-read-write-ledger,openslimedit,3,0,0,324878,169269.00,4331.67,0.00,0.00,172300.00,174450.67,154694.50,193131.50,137089.00,213963.00,0.00000000,0.84634500,0.10829167,0.93649500,0.95463667,0.85182000,1.04838250,0.76714500,1.16027000,27344.00,35317.67,13.70,17.38,0.14928000,0.17956167,13.75,16.34
helper-read-write-ledger,dcp,3,0,0,320428,241551.67,5409.67,0.00,0.00,271510.00,247162.33,214342.50,292156.00,157175.00,312802.00,0.00000000,1.20775833,0.13524167,1.43750500,1.34300000,1.15382250,1.57943000,0.87014000,1.72135500,-38736.00,-37394.00,-16.64,-17.72,-0.18595500,-0.20880167,-14.86,-18.36
helper-read-write-ledger,openrtk,3,0,0,339086,284922.67,4744.00,0.00,0.00,287234.00,290066.67,287018.50,291698.50,286803.00,296163.00,0.00000000,1.42461333,0.11860000,1.52511000,1.54321333,1.52374750,1.55362750,1.52238500,1.58214500,-87590.00,-80298.33,-43.87,-39.17,-0.43661000,-0.40901500,-40.21,-36.86
core-api-read-write-ledger,baseline,3,0,0,436200,395082.67,4064.00,0.00,0.00,393973.00,399347.00,335693.50,460313.50,277414.00,526654.00,0.00000000,1.97541333,0.10160000,2.05642000,2.07701333,1.76152750,2.38220250,1.46663500,2.70798500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
core-api-read-write-ledger,tokenwarden,3,0,0,253692,99011.33,6237.00,0.00,0.00,93827.00,105545.67,73010.50,132221.50,52194.00,170616.00,0.00000000,0.49505667,0.15592500,0.56006500,0.65098167,0.44980500,0.80670000,0.33954500,1.05333500,223357.00,293801.33,66.18,70.99,1.00308500,1.42603167,61.81,66.02
core-api-read-write-ledger,openslimedit,3,0,0,442397,396563.00,4779.00,0.00,0.00,397061.00,402517.33,380768.50,421538.00,364476.00,446015.00,0.00000000,1.98281500,0.11947500,2.06415000,2.10229000,1.98735250,2.19815750,1.91055500,2.33216500,-3088.00,-3170.33,-0.78,-10.26,-0.00773000,-0.02527667,-0.38,-9.98
core-api-read-write-ledger,dcp,3,0,0,451258,258723.33,4366.00,0.00,0.00,178171.00,263223.00,173407.50,310512.50,168644.00,442854.00,0.00000000,1.29361667,0.10915000,0.98684000,1.40276667,0.95908500,1.63848500,0.93133000,2.29013000,225329.00,136124.00,57.19,21.24,1.12509000,0.67424667,54.71,20.71
core-api-read-write-ledger,openrtk,3,0,0,445600,362239.33,4411.67,0.00,0.00,418329.00,366957.00,329801.50,429798.50,241274.00,441268.00,0.00000000,1.81119667,0.11029167,2.18541000,1.92148833,1.73775750,2.23718000,1.29010500,2.28895000,36140.00,32390.00,13.03,7.20,0.17653000,0.15552500,12.04,6.68
react-state-bug-fix,baseline,3,0,0,71512,39115.67,845.00,0.00,0.00,40569.00,40542.00,35401.50,45696.00,30234.00,50823.00,0.00000000,0.19557833,0.02112500,0.21572500,0.21670333,0.18930000,0.24361750,0.16287500,0.27151000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
react-state-bug-fix,tokenwarden,3,0,0,79470,50395.33,937.33,0.00,0.00,55185.00,51992.67,49303.00,56278.50,43421.00,57372.00,0.00000000,0.25197667,0.02343333,0.29344500,0.27541000,0.26459000,0.29524750,0.23573500,0.29705000,-14616.00,-11450.67,-36.03,-37.07,-0.07772000,-0.05870667,-36.03,-35.08
react-state-bug-fix,openslimedit,3,0,0,68633,23426.00,747.00,0.00,0.00,22565.00,24686.33,22476.00,25836.00,22387.00,29107.00,0.00000000,0.11713000,0.01867500,0.12427500,0.13580500,0.12377250,0.14207250,0.12327000,0.15987000,11462.00,15855.67,28.25,36.60,0.05585500,0.08089833,25.89,34.81
react-state-bug-fix,dcp,3,0,0,64035,46228.33,751.33,0.00,0.00,47340.00,47124.33,41865.00,52491.50,36390.00,57643.00,0.00000000,0.23114167,0.01878333,0.25029500,0.24992500,0.22221250,0.27782250,0.19413000,0.30535000,-6771.00,-6582.33,-16.69,-26.32,-0.03457000,-0.03322167,-16.03,-25.00
react-state-bug-fix,openrtk,3,0,0,57340,29674.00,652.33,0.00,0.00,30766.00,30646.33,30544.50,30808.00,30323.00,30850.00,0.00000000,0.14837000,0.01630833,0.16500500,0.16467833,0.16447500,0.16504500,0.16394500,0.16508500,10246.00,9895.67,25.26,20.89,0.05178000,0.05202500,24.00,20.63
