task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
next-api-route-fix,baseline,3,0,0,50226,35658.67,804.67,0.00,0.00,30609.00,36711.00,30455.00,39916.00,30301.00,49223.00,0.00000000,0.17829333,0.02011667,0.16462000,0.19841000,0.16454500,0.21538000,0.16447000,0.26614000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
next-api-route-fix,tokenwarden,3,0,0,64674,39266.33,870.67,0.00,0.00,33847.00,40340.33,33425.50,44008.50,33004.00,54170.00,0.00000000,0.19633167,0.02176667,0.18110500,0.21809833,0.17948250,0.23821750,0.17786000,0.29533000,-3546.00,-3629.33,-10.05,-9.86,-0.01663500,-0.01968833,-10.11,-9.71
next-api-route-fix,openslimedit,3,0,0,59938,25563.33,841.33,0.00,0.00,21923.00,26693.33,21713.00,29288.50,21503.00,36654.00,0.00000000,0.12781667,0.02103333,0.12236000,0.14885000,0.12079000,0.16366500,0.11922000,0.20497000,9106.00,10017.67,27.65,27.64,0.04540000,0.04956000,25.60,25.39
next-api-route-fix,dcp,3,0,0,71623,53641.67,986.00,0.00,0.00,57432.00,54800.33,46886.50,64030.00,36341.00,70628.00,0.00000000,0.26820833,0.02465000,0.30667000,0.29285833,0.25007250,0.34255000,0.19347500,0.37843000,-21405.00,-18089.33,-43.49,-50.35,-0.11229000,-0.09444833,-42.19,-48.71
next-api-route-fix,openrtk,3,0,0,55632,35796.67,849.33,0.00,0.00,30507.00,36891.00,30467.00,40123.00,30427.00,49739.00,0.00000000,0.17898333,0.02123333,0.16659000,0.20021667,0.16568000,0.21794000,0.16477000,0.26929000,-126.00,-180.00,-0.42,-8.30,-0.00030000,-0.00180667,-0.18,-8.79
cli-flag-parsing-fix,baseline,3,0,0,61381,38210.00,851.33,0.00,0.00,40614.00,39487.00,35398.00,44139.50,30182.00,47665.00,0.00000000,0.19105000,0.02128333,0.21659500,0.21233333,0.19055250,0.23624500,0.16451000,0.25589500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
cli-flag-parsing-fix,tokenwarden,3,0,0,63297,42841.33,889.33,0.00,0.00,42834.00,44190.33,37726.00,49976.50,32618.00,57119.00,0.00000000,0.21420667,0.02223333,0.23058000,0.23644000,0.20370000,0.26625000,0.17682000,0.30192000,-9454.00,-4703.33,-19.83,-14.02,-0.04602500,-0.02410667,-17.99,-13.26
cli-flag-parsing-fix,openslimedit,3,0,0,70311,98490.33,1346.00,0.00,0.00,35804.00,100627.67,28662.50,140181.00,21521.00,244558.00,0.00000000,0.49245167,0.03365000,0.19221500,0.52610167,0.15487500,0.73038500,0.11753500,1.26855500,4810.00,-61140.67,11.84,-124.18,0.02438000,-0.31376833,11.26,-118.64
cli-flag-parsing-fix,dcp,3,0,0,127573,94478.67,1723.33,0.00,0.00,120631.00,96493.00,78409.00,126646.00,36187.00,132661.00,0.00000000,0.47239333,0.04308333,0.65175500,0.51547667,0.42395500,0.67513750,0.19615500,0.69852000,-80017.00,-57006.00,-178.32,-131.74,-0.43516000,-0.30314333,-172.97,-131.04
cli-flag-parsing-fix,openrtk,3,0,0,96958,97729.67,1783.00,0.00,0.00,51101.00,101031.67,40564.50,136533.50,30028.00,221966.00,0.00000000,0.48864833,0.04457500,0.27316000,0.53322333,0.21843000,0.71798500,0.16370000,1.16281000,-10487.00,-61544.67,-25.82,-130.33,-0.05656500,-0.32089000,-26.12,-126.68
large-test-log-debug,baseline,3,0,0,54729,37666.33,635.00,0.00,0.00,39805.00,38540.67,36736.50,40977.00,33668.00,42149.00,0.00000000,0.18833167,0.01587500,0.21228000,0.20420667,0.19608250,0.21636750,0.17988500,0.22045500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
large-test-log-debug,tokenwarden,3,0,0,60442,42794.33,670.33,0.00,0.00,41066.00,43668.00,39080.50,46954.50,37095.00,52843.00,0.00000000,0.21397167,0.01675833,0.21526000,0.23073000,0.20635750,0.24736750,0.19745500,0.27947500,-1261.00,-5127.33,-3.17,-16.04,-0.00298000,-0.02652333,-1.40,-15.44
large-test-log-debug,openslimedit,3,0,0,59171,44727.33,608.33,0.00,0.00,27772.00,45590.67,27121.00,55151.00,26470.00,82530.00,0.00000000,0.22363667,0.01520833,0.14940000,0.23884500,0.14690500,0.28606250,0.14441000,0.42272500,5896.00,-7050.00,17.51,-14.93,0.03048500,-0.03463833,16.95,-14.28
large-test-log-debug,dcp,3,0,0,66406,62094.33,557.67,0.00,0.00,43130.00,62770.00,40899.50,74820.50,38669.00,106511.00,0.00000000,0.31047167,0.01394167,0.22630000,0.32441333,0.21526000,0.38451000,0.20422000,0.54272000,-981.00,-24229.33,-2.33,-71.94,-0.00584500,-0.12020667,-2.65,-66.85
large-test-log-debug,openrtk,3,0,0,51188,41614.33,619.33,0.00,0.00,37544.00,42423.33,35007.50,47399.50,32471.00,57255.00,0.00000000,0.20807167,0.01548333,0.19825500,0.22355500,0.18470250,0.24975750,0.17115000,0.30126000,-3876.00,-3882.67,-11.51,-9.64,-0.01837000,-0.01934833,-10.21,-9.16
typecheck-flood-debug,baseline,3,1,0,49547,59795.33,886.33,0.00,0.00,39495.00,61044.00,38570.00,72743.50,37645.00,105992.00,0.00000000,0.29897667,0.02215833,0.20835000,0.32113500,0.20356250,0.38231500,0.19877500,0.55628000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
typecheck-flood-debug,tokenwarden,3,2,0,68817,50033.00,918.33,0.00,0.00,44082.00,51196.33,39593.00,59242.50,35104.00,74403.00,0.00000000,0.25016500,0.02295833,0.23501000,0.27312333,0.21145000,0.31574000,0.18789000,0.39647000,4391.00,9847.67,11.12,7.94,0.02046000,0.04801167,9.82,6.77
typecheck-flood-debug,openslimedit,3,3,0,57414,21717.67,654.67,0.00,0.00,20621.00,22795.00,20502.50,24000.50,20384.00,27380.00,0.00000000,0.10858833,0.01636667,0.11458500,0.12495500,0.11402000,0.13070500,0.11345500,0.14682500,19111.00,38249.00,48.39,52.07,0.09376500,0.19618000,45.00,50.25
typecheck-flood-debug,dcp,3,3,0,64589,45760.67,761.67,0.00,0.00,45578.00,46676.33,45531.50,47272.00,45485.00,48966.00,0.00000000,0.22880333,0.01904167,0.24134000,0.24784500,0.24130750,0.25113000,0.24127500,0.26092000,-6083.00,14367.67,-15.40,5.86,-0.03292500,0.07329000,-15.80,5.29
typecheck-flood-debug,openrtk,3,2,0,49934,34302.33,661.33,0.00,0.00,29373.00,35316.33,29219.50,38441.50,29066.00,47510.00,0.00000000,0.17151167,0.01653333,0.15787500,0.18804500,0.15702750,0.20397750,0.15618000,0.25008000,10122.00,25727.67,25.63,24.00,0.05047500,0.13309000,24.23,23.45
build-failure-debug,baseline,3,0,0,36823,29031.33,521.33,0.00,0.00,28361.00,29721.33,28320.50,30442.00,28280.00,32523.00,0.00000000,0.14515667,0.01303333,0.15019500,0.15819000,0.15013000,0.16225250,0.15006500,0.17431000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
build-failure-debug,tokenwarden,3,0,0,46214,36596.67,510.00,0.00,0.00,40159.00,37240.67,35781.00,40159.50,31403.00,40160.00,0.00000000,0.18298333,0.01275000,0.20966000,0.19573333,0.18829000,0.21014000,0.16692000,0.21062000,-11799.00,-7519.33,-41.60,-26.72,-0.05959500,-0.03754333,-39.71,-25.23
build-failure-debug,openslimedit,3,0,0,45407,19086.33,533.67,0.00,0.00,19759.00,19768.67,19738.50,19794.00,19718.00,19829.00,0.00000000,0.09543167,0.01334167,0.10877000,0.10877333,0.10871500,0.10883000,0.10866000,0.10889000,8643.00,9952.67,30.47,33.21,0.04142500,0.04941667,27.58,30.89
build-failure-debug,dcp,3,0,0,50440,34458.33,515.67,0.00,0.00,34754.00,35082.00,34682.00,35318.00,34610.00,35882.00,0.00000000,0.17229167,0.01289167,0.18317000,0.18518333,0.18247750,0.18688250,0.18178500,0.19059500,-6330.00,-5360.67,-22.38,-18.42,-0.03159000,-0.02699333,-21.03,-17.48
build-failure-debug,openrtk,3,0,0,45869,30913.67,604.00,0.00,0.00,29743.00,31688.00,29231.50,33172.00,28720.00,36601.00,0.00000000,0.15456833,0.01510000,0.16007000,0.16966833,0.15651250,0.17802500,0.15295500,0.19598000,-440.00,-1966.67,-1.56,-7.35,-0.00276000,-0.01147833,-1.84,-8.09
multi-file-rename-migration,baseline,3,0,0,68923,41325.33,1128.33,0.00,0.00,39677.00,42842.00,39100.50,45001.00,38524.00,50325.00,0.00000000,0.20662667,0.02820833,0.21972000,0.23483500,0.21483000,0.24728250,0.20994000,0.27484500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
multi-file-rename-migration,tokenwarden,3,0,0,74862,45717.00,1152.67,0.00,0.00,43496.00,47227.00,43355.00,49233.50,43214.00,54971.00,0.00000000,0.22858500,0.02881667,0.23917000,0.25740167,0.23774000,0.26794750,0.23631000,0.29672500,-3819.00,-4385.00,-9.63,-12.73,-0.01945000,-0.02256667,-8.85,-12.06
multi-file-rename-migration,openslimedit,3,0,0,81861,32182.67,1109.33,0.00,0.00,33702.00,33671.00,33579.50,33778.00,33457.00,33854.00,0.00000000,0.16091333,0.02773333,0.18918000,0.18864667,0.18833250,0.18922750,0.18748500,0.18927500,6220.00,9171.00,15.68,20.31,0.03054000,0.04618833,13.90,18.58
multi-file-rename-migration,dcp,3,0,0,87141,62665.67,1217.67,0.00,0.00,55338.00,64100.33,51728.50,72091.00,48119.00,88844.00,0.00000000,0.31332833,0.03044167,0.29601500,0.34377000,0.28044750,0.38321500,0.26488000,0.47041500,-15661.00,-21258.33,-39.47,-46.97,-0.07629500,-0.10893500,-34.72,-44.02
multi-file-rename-migration,openrtk,3,0,0,76014,63530.00,1288.00,0.00,0.00,38716.00,65158.00,38259.50,78835.50,37803.00,118955.00,0.00000000,0.31765000,0.03220000,0.21482000,0.34985000,0.21077250,0.42141250,0.20672500,0.62800500,-192.00,-22316.00,-0.50,-44.05,-0.00488000,-0.11501500,-2.32,-41.63
feature-add-small,baseline,3,0,0,42456,28438.00,546.33,0.00,0.00,29103.00,29258.00,29045.50,29393.00,28988.00,29683.00,0.00000000,0.14219000,0.01365833,0.15622500,0.15584833,0.15559000,0.15629500,0.15495500,0.15636500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
feature-add-small,tokenwarden,3,0,0,46879,31221.00,553.67,0.00,0.00,31913.00,31900.67,31870.50,31937.00,31828.00,31961.00,0.00000000,0.15610500,0.01384167,0.17004000,0.16994667,0.16981000,0.17013000,0.16958000,0.17022000,-2858.00,-2642.67,-9.82,-9.05,-0.01385500,-0.01409833,-8.86,-9.05
feature-add-small,openslimedit,3,0,0,58755,23298.33,648.33,0.00,0.00,25885.00,24204.00,23088.50,26160.00,20292.00,26435.00,0.00000000,0.11649167,0.01620833,0.14243000,0.13270000,0.12710000,0.14316500,0.11177000,0.14390000,3218.00,5054.00,11.06,17.17,0.01393500,0.02314833,8.91,14.83
feature-add-small,dcp,3,0,0,54915,34432.33,576.67,0.00,0.00,35089.00,35123.67,35084.50,35145.50,35080.00,35202.00,0.00000000,0.17216167,0.01441667,0.18621000,0.18657833,0.18598250,0.18699000,0.18575500,0.18777000,-6092.00,-5865.67,-20.96,-20.06,-0.03080000,-0.03073000,-19.88,-19.72
feature-add-small,openrtk,3,0,0,44618,36235.67,668.33,0.00,0.00,28835.00,37119.00,28827.00,41269.00,28819.00,53703.00,0.00000000,0.18117833,0.01670833,0.15512000,0.19788667,0.15490500,0.21948500,0.15469000,0.28385000,153.00,-7861.00,0.53,-27.03,0.00026500,-0.04203833,0.17,-26.88
refactor-no-behavior-change,baseline,3,0,0,41879,28484.00,571.33,0.00,0.00,29317.00,29245.33,29205.50,29321.00,29094.00,29325.00,0.00000000,0.14242000,0.01428333,0.15671000,0.15670333,0.15634000,0.15707000,0.15597000,0.15743000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
refactor-no-behavior-change,tokenwarden,3,0,0,46268,34260.33,604.00,0.00,0.00,32077.00,35010.67,32034.50,36520.00,31992.00,40963.00,0.00000000,0.17130167,0.01510000,0.17119500,0.18640167,0.17085250,0.19434750,0.17051000,0.21750000,-2983.00,-5765.33,-10.25,-19.69,-0.01522500,-0.02969833,-9.76,-18.95
refactor-no-behavior-change,openslimedit,3,0,0,50446,23137.67,622.33,0.00,0.00,20205.00,23945.00,20185.50,25834.50,20166.00,31464.00,0.00000000,0.11568833,0.01555833,0.11118000,0.13124667,0.11085250,0.14160750,0.11052500,0.17203500,9120.00,5300.33,31.10,18.06,0.04618500,0.02545667,29.38,16.18
refactor-no-behavior-change,dcp,3,0,0,52028,34641.33,630.33,0.00,0.00,35379.00,35384.33,35335.00,35431.00,35291.00,35483.00,0.00000000,0.17320667,0.01575833,0.18862500,0.18896500,0.18802000,0.18974000,0.18741500,0.19085500,-6158.00,-6139.00,-21.00,-20.99,-0.03191500,-0.03226167,-20.37,-20.59
refactor-no-behavior-change,openrtk,3,0,0,46261,30900.67,573.00,0.00,0.00,29017.00,31619.33,28976.50,32961.00,28936.00,36905.00,0.00000000,0.15450333,0.01432500,0.15657500,0.16882833,0.15483500,0.17669500,0.15309500,0.19681500,158.00,-2374.00,0.54,-8.10,0.00085500,-0.01212500,0.54,-7.74
code-review-diagnosis,baseline,3,3,0,74834,35971.00,1397.33,0.00,0.00,31919.00,37652.00,31255.50,41182.00,30592.00,50445.00,0.00000000,0.17985500,0.03493333,0.18547000,0.21478833,0.17994000,0.23497750,0.17441000,0.28448500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
code-review-diagnosis,tokenwarden,3,3,0,59540,28789.33,923.67,0.00,0.00,24329.00,29857.00,24075.50,32874.50,23822.00,41420.00,0.00000000,0.14394667,0.02309167,0.13881500,0.16703833,0.13709000,0.18287500,0.13536500,0.22693500,7590.00,7795.00,23.78,13.72,0.04665500,0.04775000,25.16,15.82
code-review-diagnosis,openslimedit,3,3,0,76985,21076.67,1106.33,0.00,0.00,22421.00,22536.00,22316.50,22698.00,22212.00,22975.00,0.00000000,0.10538333,0.02765833,0.13227000,0.13304167,0.13078750,0.13491000,0.12930500,0.13755000,9707.00,15116.00,30.41,36.95,0.05616500,0.08174667,30.28,34.97
code-review-diagnosis,dcp,3,3,0,115433,59834.00,1847.33,0.00,0.00,66217.00,61879.00,51184.50,74742.50,36152.00,83268.00,0.00000000,0.29917000,0.04618333,0.37358000,0.34535333,0.29096250,0.41385750,0.20834500,0.45413500,-32823.00,-24227.00,-65.07,-64.93,-0.16965000,-0.13056500,-59.63,-62.05
code-review-diagnosis,openrtk,3,3,0,75757,29940.33,1385.33,0.00,0.00,31367.00,31662.00,27023.50,36153.00,22680.00,40939.00,0.00000000,0.14970167,0.03463333,0.17696500,0.18433500,0.15809250,0.20689250,0.13922000,0.23682000,7912.00,5990.00,18.84,15.48,0.03519000,0.03045333,16.75,13.84
docs-from-code,baseline,3,0,0,43277,22902.00,744.00,0.00,0.00,21430.00,23760.33,21306.50,25049.00,21183.00,28668.00,0.00000000,0.11451000,0.01860000,0.12200500,0.13311000,0.12004000,0.14062750,0.11807500,0.15925000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
docs-from-code,tokenwarden,3,0,0,48143,31242.00,689.33,0.00,0.00,31476.00,32041.00,27508.50,36291.00,23541.00,41106.00,0.00000000,0.15621000,0.01723333,0.17030500,0.17344333,0.14970750,0.19561000,0.12911000,0.22091500,-10046.00,-8280.67,-43.39,-33.80,-0.04830000,-0.04033333,-38.72,-29.22
docs-from-code,openslimedit,3,0,0,55632,21195.67,738.33,0.00,0.00,20700.00,22073.67,20292.00,23168.50,19884.00,25637.00,0.00000000,0.10597833,0.01845833,0.11707000,0.12443667,0.11385500,0.13133500,0.11064000,0.14560000,483.00,1686.67,2.28,4.43,0.00100500,0.00867333,0.85,4.01
docs-from-code,dcp,3,0,0,63426,34372.33,757.33,0.00,0.00,35404.00,35241.33,30658.00,39906.00,25912.00,44408.00,0.00000000,0.17186167,0.01893333,0.19272000,0.19079500,0.16711000,0.21544250,0.14150000,0.23816500,-6736.00,-11481.00,-23.50,-51.35,-0.03347000,-0.05768500,-21.02,-46.23
docs-from-code,openrtk,3,0,0,50538,22997.00,666.33,0.00,0.00,21169.00,23755.67,21058.50,25159.50,20948.00,29150.00,0.00000000,0.11498500,0.01665833,0.11911500,0.13164333,0.11720000,0.13982250,0.11528500,0.16053000,235.00,4.67,1.11,-2.92,0.00279000,0.00146667,2.36,-1.34
