plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
baseline,routing-read-write-ledger,1,false,false,false,false,364314,191926,4009,0,0,196156,0,0.95963000,0.10022500,1.05985500,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,1,false,false,false,false,248137,48631,4132,0,0,53379,0,0.24315500,0.10330000,0.34645500,142777,72.79,0.71340000,67.31
openslimedit,routing-read-write-ledger,1,false,false,false,false,359317,223580,4318,0,0,228097,0,1.11790000,0.10795000,1.22585000,-31941,-16.28,-0.16599500,-15.66
dcp,routing-read-write-ledger,1,false,false,false,false,394008,319644,4193,0,0,324054,0,1.59822000,0.10482500,1.70304500,-127898,-65.20,-0.64319000,-60.69
openrtk,routing-read-write-ledger,1,false,false,false,false,355190,129662,4085,0,0,133901,0,0.64831000,0.10212500,0.75043500,62255,31.74,0.30942000,29.19
baseline,helper-read-write-ledger,1,false,false,false,false,313289,194915,4448,0,0,199644,0,0.97457500,0.11120000,1.08577500,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,1,false,false,false,false,264357,209976,4484,0,0,214933,0,1.04988000,0.11210000,1.16198000,-15289,-7.66,-0.07620500,-7.02
openslimedit,helper-read-write-ledger,1,false,false,false,false,381727,166069,4246,0,0,172300,0,0.83034500,0.10615000,0.93649500,27344,13.70,0.14928000,13.75
dcp,helper-read-write-ledger,1,false,false,false,false,503215,304586,7937,0,0,312802,0,1.52293000,0.19842500,1.72135500,-113158,-56.68,-0.63558000,-58.54
openrtk,helper-read-write-ledger,1,false,false,false,false,324614,282512,4393,0,0,287234,0,1.41256000,0.10982500,1.52238500,-87590,-43.87,-0.43661000,-40.21
baseline,core-api-read-write-ledger,1,false,false,false,false,501872,273222,4021,0,0,277414,0,1.36611000,0.10052500,1.46663500,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,1,false,false,false,false,253692,88998,4603,0,0,93827,0,0.44499000,0.11507500,0.56006500,183587,66.18,0.90657000,61.81
openslimedit,core-api-read-write-ledger,1,false,false,false,false,638335,437493,5788,0,0,446015,0,2.18746500,0.14470000,2.33216500,-168601,-60.78,-0.86553000,-59.01
dcp,core-api-read-write-ledger,1,false,false,false,false,440252,438866,3832,0,0,442854,0,2.19433000,0.09580000,2.29013000,-165440,-59.64,-0.82349500,-56.15
openrtk,core-api-read-write-ledger,1,false,false,false,false,444914,236701,4264,0,0,241274,0,1.18350500,0.10660000,1.29010500,36140,13.03,0.17653000,12.04
baseline,react-state-bug-fix,1,false,false,false,false,71512,39085,812,0,0,40569,0,0.19542500,0.02030000,0.21572500,0,0.00,0.00000000,0.00
tokenwarden,react-state-bug-fix,1,false,false,false,false,79470,53744,989,0,0,55185,0,0.26872000,0.02472500,0.29344500,-14616,-36.03,-0.07772000,-36.03
openslimedit,react-state-bug-fix,1,false,false,false,false,68633,27884,818,0,0,29107,0,0.13942000,0.02045000,0.15987000,11462,28.25,0.05585500,25.89
dcp,react-state-bug-fix,1,false,false,false,false,64035,46459,720,0,0,47340,0,0.23229500,0.01800000,0.25029500,-6771,-16.69,-0.03457000,-16.03
openrtk,react-state-bug-fix,1,false,false,false,false,55415,29449,668,0,0,30323,0,0.14724500,0.01670000,0.16394500,10246,25.26,0.05178000,24.00
baseline,next-api-route-fix,1,false,false,false,false,48387,29409,697,0,0,30301,0,0.14704500,0.01742500,0.16447000,0,0.00,0.00000000,0.00
tokenwarden,next-api-route-fix,1,false,false,false,false,64674,32801,684,0,0,33847,0,0.16400500,0.01710000,0.18110500,-3546,-11.70,-0.01663500,-10.11
openslimedit,next-api-route-fix,1,false,false,false,false,59938,20887,717,0,0,21923,0,0.10443500,0.01792500,0.12236000,8378,27.65,0.04211000,25.60
dcp,next-api-route-fix,1,false,false,false,false,52364,35595,620,0,0,36341,0,0.17797500,0.01550000,0.19347500,-6040,-19.93,-0.02900500,-17.64
