task,plugin,runs,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,average_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,average_calculated_cost_usd,average_saved_vs_baseline,average_saved_percent,average_saved_cost_vs_baseline,average_saved_cost_percent
routing-read-write-ledger,baseline,3,223082.00,4002.00,0.00,0.00,227508.67,0.00000000,1.11541000,0.10005000,1.21546000,0.00,0.00,0.00000000,0.00
routing-read-write-ledger,tokenwarden,3,129107.67,2795.00,0.00,0.00,132445.67,0.00000000,0.64553833,0.06987500,0.71541333,95063.00,-778.93,0.50004667,-405.07
routing-read-write-ledger,openslimedit,3,251456.33,5180.67,0.00,0.00,257340.67,0.00000000,1.25728167,0.12951667,1.38679833,-29832.00,-738.57,-0.17133833,-398.11
routing-read-write-ledger,dcp,3,173039.67,4645.00,0.00,0.00,177984.67,0.00000000,0.86519833,0.11612500,0.98132333,49524.00,-277.85,0.23413667,-138.69
routing-read-write-ledger,openrtk,3,463253.33,5388.00,0.00,0.00,469542.33,0.00000000,2.31626667,0.13470000,2.45096667,-242033.67,-1032.06,-1.23550667,-579.21
helper-read-write-ledger,baseline,3,444323.67,6117.33,0.00,0.00,452383.00,0.00000000,2.22161833,0.15293333,2.37455167,0.00,0.00,0.00000000,0.00
helper-read-write-ledger,tokenwarden,3,183210.33,2479.00,0.00,0.00,186143.33,0.00000000,0.91605167,0.06197500,0.97802667,266239.67,44.76,1.39652500,46.09
helper-read-write-ledger,openslimedit,3,469609.33,5732.67,0.00,0.00,476863.33,0.00000000,2.34804667,0.14331667,2.49136333,-24480.33,-11.43,-0.11681167,-10.20
helper-read-write-ledger,dcp,3,207144.33,4288.00,0.00,0.00,211588.00,0.00000000,1.03572167,0.10720000,1.14292167,240795.00,43.18,1.23163000,41.96
helper-read-write-ledger,openrtk,3,705765.00,6566.33,0.00,0.00,714129.33,0.00000000,3.52882500,0.16415833,3.69298333,-261746.33,-97.30,-1.31843167,-90.70
core-api-read-write-ledger,baseline,3,956715.33,5650.67,0.00,0.00,963292.33,0.00000000,4.78357667,0.14126667,4.92484333,0.00,0.00,0.00000000,0.00
core-api-read-write-ledger,tokenwarden,3,245167.67,4067.67,0.00,0.00,249617.00,0.00000000,1.22583833,0.10169167,1.32753000,713675.33,-214.57,3.59731333,-179.38
core-api-read-write-ledger,openslimedit,3,173823.67,3094.67,0.00,0.00,177254.67,0.00000000,0.86911833,0.07736667,0.94648500,786037.67,-95.54,3.97835833,-74.55
core-api-read-write-ledger,dcp,3,449971.00,5194.33,0.00,0.00,455358.00,0.00000000,2.24985500,0.12985833,2.37971333,507934.33,-59.79,2.54513000,-48.20
core-api-read-write-ledger,openrtk,3,402256.33,4454.00,0.00,0.00,407063.67,0.00000000,2.01128167,0.11135000,2.12263167,556228.67,-88.20,2.80221167,-70.51
