plugin,task,run,dry_run,prepare_only,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
openslimedit,core-api-read-write-ledger,1,false,false,160506,4931,0,0,165833,0,0.80253000,0.12327500,0.92580500,857664,83.80,4.29535500,82.27
dcp,core-api-read-write-ledger,1,false,false,696732,6419,0,0,703393,0,3.48366000,0.16047500,3.64413500,320104,31.28,1.57702500,30.20
openrtk,core-api-read-write-ledger,1,false,false,447188,4868,0,0,452249,0,2.23594000,0.12170000,2.35764000,571248,55.81,2.86352000,54.84
baseline,routing-read-write-ledger,2,false,false,7919,2302,0,0,10290,0,0.03959500,0.05755000,0.09714500,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,2,false,false,262068,5035,0,0,267669,0,1.31034000,0.12587500,1.43621500,-257379,-2501.25,-1.33907000,-1378.42
openslimedit,routing-read-write-ledger,2,false,false,237191,4171,0,0,242198,0,1.18595500,0.10427500,1.29023000,-231908,-2253.72,-1.19308500,-1228.15
dcp,routing-read-write-ledger,2,false,false,100346,2312,0,0,102863,0,0.50173000,0.05780000,0.55953000,-92573,-899.64,-0.46238500,-475.97
openrtk,routing-read-write-ledger,2,false,false,311643,4630,0,0,316633,0,1.55821500,0.11575000,1.67396500,-306343,-2977.09,-1.57682000,-1623.16
baseline,helper-read-write-ledger,2,false,false,338070,7368,0,0,346261,0,1.69035000,0.18420000,1.87455000,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,2,false,false,456648,5779,0,0,463515,0,2.28324000,0.14447500,2.42771500,-117254,-33.86,-0.55316500,-29.51
openslimedit,helper-read-write-ledger,2,false,false,462942,4890,0,0,468605,0,2.31471000,0.12225000,2.43696000,-122344,-35.33,-0.56241000,-30.00
dcp,helper-read-write-ledger,2,false,false,191468,4483,0,0,196087,0,0.95734000,0.11207500,1.06941500,150174,43.37,0.80513500,42.95
openrtk,helper-read-write-ledger,2,false,false,1166570,7599,0,0,1176869,0,5.83285000,0.18997500,6.02282500,-830608,-239.88,-4.14827500,-221.29
baseline,core-api-read-write-ledger,2,false,false,59886,2914,0,0,63144,0,0.29943000,0.07285000,0.37228000,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,2,false,false,581647,6701,0,0,589162,0,2.90823500,0.16752500,3.07576000,-526018,-833.05,-2.70348000,-726.20
openslimedit,core-api-read-write-ledger,2,false,false,355260,4235,0,0,359973,0,1.77630000,0.10587500,1.88217500,-296829,-470.08,-1.50989500,-405.58
dcp,core-api-read-write-ledger,2,false,false,240355,4194,0,0,244654,0,1.20177500,0.10485000,1.30662500,-181510,-287.45,-0.93434500,-250.98
openrtk,core-api-read-write-ledger,2,false,false,308075,3989,0,0,312640,0,1.54037500,0.09972500,1.64010000,-249496,-395.12,-1.26782000,-340.56
baseline,routing-read-write-ledger,3,false,false,297125,4058,0,0,301520,0,1.48562500,0.10145000,1.58707500,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,3,false,false,8674,218,0,0,8999,0,0.04337000,0.00545000,0.04882000,292521,97.02,1.53825500,96.92
openslimedit,routing-read-write-ledger,3,false,false,301061,5900,0,0,307808,0,1.50530500,0.14750000,1.65280500,-6288,-2.09,-0.06573000,-4.14
dcp,routing-read-write-ledger,3,false,false,278595,5940,0,0,284736,0,1.39297500,0.14850000,1.54147500,16784,5.57,0.04560000,2.87
openrtk,routing-read-write-ledger,3,false,false,390287,5105,0,0,396062,0,1.95143500,0.12762500,2.07906000,-94542,-31.36,-0.49198500,-31.00
baseline,helper-read-write-ledger,3,false,false,233603,3788,0,0,239045,0,1.16801500,0.09470000,1.26271500,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,3,false,false,66400,1149,0,0,67724,0,0.33200000,0.02872500,0.36072500,171321,71.67,0.90199000,71.43
openslimedit,helper-read-write-ledger,3,false,false,252740,4330,0,0,257426,0,1.26370000,0.10825000,1.37195000,-18381,-7.69,-0.10923500,-8.65
dcp,helper-read-write-ledger,3,false,false,192989,4201,0,0,197353,0,0.96494500,0.10502500,1.06997000,41692,17.44,0.19274500,15.26
openrtk,helper-read-write-ledger,3,false,false,433524,4938,0,0,439546,0,2.16762000,0.12345000,2.29107000,-200501,-83.88,-1.02835500,-81.44
baseline,core-api-read-write-ledger,3,false,false,1792788,8686,0,0,1803236,0,8.96394000,0.21715000,9.18109000,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,3,false,false,112693,3698,0,0,116570,0,0.56346500,0.09245000,0.65591500,1686666,93.54,8.52517500,92.86
openslimedit,core-api-read-write-ledger,3,false,false,5705,118,0,0,5958,0,0.02852500,0.00295000,0.03147500,1797278,99.67,9.14961500,99.66
dcp,core-api-read-write-ledger,3,false,false,412826,4970,0,0,418027,0,2.06413000,0.12425000,2.18838000,1385209,76.82,6.99271000,76.16
openrtk,core-api-read-write-ledger,3,false,false,451506,4505,0,0,456302,0,2.25753000,0.11262500,2.37015500,1346934,74.70,6.81093500,74.18
