plugin,task,run,dry_run,prepare_only,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
baseline,routing-read-write-ledger,1,false,false,364202,5646,0,0,370716,0,1.82101000,0.14115000,1.96216000,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,1,false,false,116581,3132,0,0,120669,0,0.58290500,0.07830000,0.66120500,250047,67.45,1.30095500,66.30
openslimedit,routing-read-write-ledger,1,false,false,216117,5471,0,0,222016,0,1.08058500,0.13677500,1.21736000,148700,40.11,0.74480000,37.96
dcp,routing-read-write-ledger,1,false,false,140178,5683,0,0,146355,0,0.70089000,0.14207500,0.84296500,224361,60.52,1.11919500,57.04
openrtk,routing-read-write-ledger,1,false,false,687830,6429,0,0,695932,0,3.43915000,0.16072500,3.59987500,-325216,-87.73,-1.63771500,-83.46
baseline,helper-read-write-ledger,1,false,false,761298,7196,0,0,771843,0,3.80649000,0.17990000,3.98639000,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,1,false,false,26583,509,0,0,27191,0,0.13291500,0.01272500,0.14564000,744652,96.48,3.84075000,96.35
openslimedit,helper-read-write-ledger,1,false,false,693146,7978,0,0,704559,0,3.46573000,0.19945000,3.66518000,67284,8.72,0.32121000,8.06
dcp,helper-read-write-ledger,1,false,false,236976,4180,0,0,241324,0,1.18488000,0.10450000,1.28938000,530519,68.73,2.69701000,67.66
openrtk,helper-read-write-ledger,1,false,false,517201,7162,0,0,525973,0,2.58600500,0.17905000,2.76505500,245870,31.85,1.22133500,30.64
baseline,core-api-read-write-ledger,1,false,false,1017472,5352,0,0,1023497,0,5.08736000,0.13380000,5.22116000,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,1,false,false,41163,1804,0,0,43119,0,0.20581500,0.04510000,0.25091500,980378,95.79,4.97024500,95.19
