platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,typecheck-flood-debug,rtk,3,3,0,52457,37104.33,1095.33,32754.33,0.00,57368.00,70954.00,49411.00,85704.00,41454.00,114040.00,0.22928217,0.18552167,0.02738333,0.17640500,0.21290500,0.15370750,0.25385250,0.13101000,0.33130000,-18596.00,-15231.33,-47.96,-26.13,-0.04975000,-0.04065833,-39.28,-22.46
claude-code,typecheck-flood-debug,caveman,3,3,0,44098,29504.67,752.33,24978.33,0.00,58712.00,55235.33,51983.50,60225.50,45255.00,61739.00,0.17882083,0.14752333,0.01880833,0.17724500,0.16633167,0.15810250,0.18001750,0.13896000,0.18279000,-4149.00,487.33,-7.60,-2.65,-0.00517000,0.00591500,-3.00,1.15
claude-code,build-failure-debug,baseline,3,0,0,42117,22218.33,800.33,18988.33,0.00,38250.00,42007.00,38042.50,44093.00,37835.00,49936.00,0.14059417,0.11109167,0.02000833,0.12227000,0.13110000,0.12027500,0.13751000,0.11828000,0.15275000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,build-failure-debug,tokenwarden,3,0,0,40379,22497.33,732.00,18828.67,0.00,41947.00,42058.00,41861.50,42199.00,41776.00,42451.00,0.14020100,0.11248667,0.01830000,0.13120000,0.13078667,0.13022250,0.13155750,0.12924500,0.13191500,-3941.00,-51.00,-10.42,-1.80,-0.00964500,0.00031333,-7.89,-1.02
claude-code,build-failure-debug,context-mode,3,0,0,61908,55102.33,773.67,49707.67,0.00,96291.00,105583.67,96276.50,110244.50,96262.00,124198.00,0.31970717,0.27551167,0.01934167,0.27123500,0.29485333,0.27118250,0.30671500,0.27113000,0.34219500,-58427.00,-63576.67,-154.43,-157.32,-0.15285000,-0.16375333,-129.23,-128.89
claude-code,build-failure-debug,rtk,3,0,0,49205,39389.67,1091.33,35454.00,0.00,54589.00,75935.00,53255.00,87942.00,51921.00,121295.00,0.24195867,0.19694833,0.02728333,0.16664500,0.22423167,0.16271500,0.25695500,0.15878500,0.34726500,-16339.00,-33928.00,-42.72,-74.28,-0.04437500,-0.09313167,-36.29,-65.96
claude-code,build-failure-debug,caveman,3,0,0,34494,23978.33,546.00,19993.33,0.00,44568.00,44517.67,44490.00,44570.50,44412.00,44573.00,0.14353833,0.11989167,0.01365000,0.13374500,0.13354167,0.13323750,0.13394750,0.13273000,0.13415000,-6162.00,-2510.67,-16.11,-7.72,-0.01046000,-0.00244167,-8.55,-3.18
claude-code,multi-file-rename-migration,baseline,3,0,0,62616,32684.67,1277.00,29142.33,0.00,51831.00,63104.00,51626.50,68945.00,51422.00,86059.00,0.20991950,0.16342333,0.03192500,0.16726500,0.19534833,0.16560750,0.21104750,0.16395000,0.25483000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,multi-file-rename-migration,tokenwarden,3,0,0,69708,29807.00,1392.67,25454.00,0.00,56538.00,56653.67,56531.50,56718.00,56525.00,56898.00,0.19657867,0.14903500,0.03481667,0.18406000,0.18385167,0.18330250,0.18450500,0.18254500,0.18495000,-4694.00,6450.33,-9.06,4.96,-0.01679500,0.01149667,-10.04,1.84
claude-code,multi-file-rename-migration,context-mode,3,0,0,89665,74876.33,1509.33,68932.00,0.00,155490.00,145317.67,139435.50,156286.00,123381.00,157082.00,0.44658100,0.37438167,0.03773333,0.43946500,0.41211500,0.39550000,0.44240500,0.35153500,0.44534500,-71550.00,-82213.67,-138.04,-140.98,-0.19051500,-0.21676667,-110.17,-117.66
claude-code,multi-file-rename-migration,rtk,3,0,0,67355,36014.00,1503.00,31852.33,0.00,73059.00,69369.33,63741.00,76842.50,54423.00,80626.00,0.23357117,0.18007000,0.03757500,0.24048000,0.21764500,0.20567000,0.24103750,0.17086000,0.24159500,-21637.00,-6265.33,-42.08,-20.29,-0.07433000,-0.02229667,-44.44,-19.39
claude-code,multi-file-rename-migration,caveman,3,0,0,60373,36327.33,1141.67,31792.67,0.00,60280.00,69261.67,59827.50,74205.00,59375.00,88130.00,0.22607467,0.18163667,0.02854167,0.18823000,0.21017833,0.18565000,0.22373250,0.18307000,0.25923500,-7953.00,-6157.67,-15.47,-18.51,-0.01912000,-0.01483000,-11.66,-13.50
claude-code,feature-add-small,baseline,3,0,0,43101,20569.00,862.00,17311.33,0.00,38871.00,38742.33,38611.00,38938.00,38351.00,39005.00,0.13305067,0.10284500,0.02155000,0.12477000,0.12439500,0.12367250,0.12530500,0.12257500,0.12584000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,feature-add-small,tokenwarden,3,0,0,42550,22815.00,793.67,18827.00,0.00,42311.00,42435.67,42222.50,42586.50,42134.00,42862.00,0.14333017,0.11407500,0.01984167,0.13256500,0.13391667,0.13161500,0.13554250,0.13066500,0.13852000,-3440.00,-3693.33,-8.85,-9.54,-0.00672500,-0.00952167,-5.34,-7.69
claude-code,feature-add-small,context-mode,3,0,0,65652,50806.00,799.67,45056.00,0.00,96620.00,96661.67,96605.50,96697.00,96591.00,96774.00,0.29654967,0.25403000,0.01999167,0.27408000,0.27402167,0.27349750,0.27457500,0.27291500,0.27507000,-57720.00,-57919.33,-148.49,-149.51,-0.14931000,-0.14962667,-119.67,-120.32
claude-code,feature-add-small,rtk,3,0,0,43590,28497.00,865.33,24736.00,0.00,41192.00,54098.33,41185.00,60558.50,41178.00,79925.00,0.17648633,0.14248500,0.02163333,0.12918000,0.16411833,0.12884500,0.18192250,0.12851000,0.23466500,-2307.00,-15356.00,-5.94,-39.98,-0.00374000,-0.03972333,-3.00,-32.37
claude-code,feature-add-small,caveman,3,0,0,38365,24294.00,630.33,20071.33,0.00,44948.00,44995.67,44924.00,45043.50,44900.00,45139.00,0.14726400,0.12147000,0.01575833,0.13691000,0.13722833,0.13650750,0.13779000,0.13610500,0.13867000,-6268.00,-6253.33,-16.13,-16.15,-0.01283000,-0.01283333,-10.20,-10.33
claude-code,refactor-no-behavior-change,baseline,3,0,0,39593,20490.67,751.33,17460.33,0.00,38732.00,38702.33,38526.00,38893.50,38320.00,39055.00,0.12996683,0.10245333,0.01878333,0.12093500,0.12123667,0.12035750,0.12196500,0.11978000,0.12299500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,refactor-no-behavior-change,tokenwarden,3,0,0,42799,22939.00,827.67,19383.67,0.00,42904.00,43150.33,42794.50,43383.00,42685.00,43862.00,0.14507850,0.11469500,0.02069167,0.13353500,0.13538667,0.13297000,0.13687750,0.13240500,0.14022000,-4365.00,-4448.00,-11.39,-11.49,-0.01262500,-0.01415000,-10.54,-11.65
claude-code,refactor-no-behavior-change,context-mode,3,1,0,58600,80121.00,1092.33,74479.00,0.00,97271.00,155692.33,97126.00,185048.00,96981.00,272825.00,0.46515283,0.40060500,0.02730833,0.27672000,0.42791333,0.27533250,0.50489750,0.27394500,0.73307500,-58249.00,-116990.00,-150.39,-303.81,-0.15416500,-0.30667667,-128.71,-253.29
claude-code,refactor-no-behavior-change,rtk,3,0,0,43917,22252.00,780.00,18548.33,0.00,41596.00,41580.33,41548.50,41620.00,41501.00,41644.00,0.14003417,0.11126000,0.01950000,0.13080500,0.13076000,0.13057500,0.13096750,0.13034500,0.13113000,-2769.00,-2878.00,-7.15,-7.44,-0.01019500,-0.00952333,-8.43,-7.87
claude-code,refactor-no-behavior-change,caveman,3,0,0,41904,27007.00,748.67,22835.67,0.00,45499.00,50591.33,45473.50,53163.00,45448.00,60827.00,0.16516950,0.13503500,0.01871667,0.14073000,0.15375167,0.13919000,0.16180250,0.13765000,0.18287500,-6767.00,-11889.00,-17.47,-30.86,-0.02095000,-0.03251500,-17.49,-26.87
claude-code,code-review-diagnosis,baseline,3,3,0,83097,26923.00,1771.67,23799.00,0.00,40501.00,52493.67,34953.50,64037.50,29406.00,87574.00,0.19080617,0.13461500,0.04429167,0.15157000,0.17890667,0.13225250,0.21189250,0.11293500,0.27221500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,code-review-diagnosis,tokenwarden,3,3,0,71948,27279.67,1798.00,23472.00,0.00,45893.00,52549.67,39284.00,62487.00,32675.00,79081.00,0.19308433,0.13639833,0.04495000,0.15884500,0.18134833,0.14169250,0.20975250,0.12454000,0.26066000,7826.00,-56.00,9.70,-9.02,0.01155500,-0.00244167,4.24,-6.19
claude-code,code-review-diagnosis,context-mode,3,3,0,89143,37956.00,1359.67,33624.00,0.00,72995.00,72939.67,72748.00,73159.00,72501.00,73323.00,0.24058367,0.18978000,0.03399167,0.22281500,0.22377167,0.22123000,0.22583500,0.21964500,0.22885500,-32494.00,-20446.00,-80.23,-70.17,-0.07124500,-0.04486500,-47.00,-41.85
claude-code,code-review-diagnosis,rtk,3,3,0,91604,29470.00,2036.33,26058.67,0.00,57141.00,57565.00,50280.00,64638.00,43419.00,72135.00,0.21128767,0.14735000,0.05090833,0.20391500,0.19825833,0.17982250,0.21952250,0.15573000,0.23513000,-14013.00,-5071.33,-47.65,-30.34,-0.04279500,-0.01935167,-37.89,-22.64
claude-code,code-review-diagnosis,caveman,3,3,0,38943,19979.33,817.67,16207.67,0.00,32478.00,37004.67,26181.00,45565.00,19884.00,58652.00,0.12844217,0.09989667,0.02044167,0.10628500,0.12033833,0.08898250,0.14466750,0.07168000,0.18305000,-3072.00,15489.00,-10.45,7.34,0.00665000,0.05856833,5.89,19.60
claude-code,docs-from-code,baseline,3,0,0,34710,16684.00,795.00,13848.00,0.00,27196.00,31327.00,27193.00,33395.50,27190.00,39595.00,0.11021900,0.08342000,0.01987500,0.09006500,0.10329500,0.08943000,0.11054500,0.08879500,0.13102500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,docs-from-code,tokenwarden,3,0,0,37131,16395.33,707.33,13104.67,0.00,30092.00,30207.33,29994.00,30363.00,29896.00,30634.00,0.10621233,0.08197667,0.01768333,0.09906500,0.09966000,0.09821250,0.10081000,0.09736000,0.10255500,-2902.00,1119.67,-10.67,0.39,-0.00900000,0.00363500,-9.99,0.07
claude-code,docs-from-code,context-mode,3,0,0,47271,41912.00,830.00,37558.67,0.00,71215.00,80300.67,71096.50,84962.00,70978.00,98709.00,0.24908933,0.20956000,0.02075000,0.20572500,0.23031000,0.20481000,0.24351750,0.20389500,0.28131000,-44019.00,-48973.67,-161.04,-157.40,-0.11693000,-0.12701500,-126.39,-124.26
claude-code,docs-from-code,rtk,3,0,0,57251,36428.00,1252.67,32907.33,0.00,64420.00,70588.00,52978.00,85114.00,41536.00,105808.00,0.22991033,0.18214000,0.03131667,0.19553500,0.21345667,0.16453250,0.25342000,0.13353000,0.31130500,-37230.00,-39261.00,-136.93,-118.96,-0.10547000,-0.11016167,-117.10,-101.69
claude-code,docs-from-code,caveman,3,2,0,48288,42407.33,1019.67,38302.67,0.00,58370.00,81729.67,52068.50,99711.00,45767.00,141052.00,0.25667967,0.21203667,0.02549167,0.17480500,0.23752833,0.15903750,0.28465750,0.14327000,0.39451000,-31174.00,-50402.67,-114.63,-182.99,-0.08601000,-0.13423333,-96.86,-148.08
