platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,routing-read-write-ledger,baseline,3,1,0,385754,237922.00,5409.67,187831.33,0.00,442719.00,431163.00,391212.50,476891.50,339706.00,511064.00,1.41876733,1.18961000,0.13524167,1.33210000,1.32485167,1.21574750,1.43758000,1.09939500,1.54306000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,routing-read-write-ledger,tokenwarden,3,0,0,320313,212755.00,5998.00,187885.67,0.00,403702.00,406638.67,392659.50,419149.50,381617.00,434597.00,1.30766783,1.06377500,0.14995000,1.20123000,1.21372500,1.16611500,1.25508750,1.13100000,1.30894500,39017.00,24524.33,8.81,3.81,0.13087000,0.11112667,9.82,7.37
claude-code,routing-read-write-ledger,context-mode,3,0,0,472720,403576.33,5704.00,347595.33,0.00,550187.00,756875.67,508477.50,901929.50,466768.00,1253672.00,2.33427933,2.01788167,0.14260000,1.61491000,2.16048167,1.52984750,2.51833000,1.44478500,3.42175000,-127062.00,-325712.67,-37.40,-68.99,-0.34539000,-0.83563000,-31.42,-58.13
claude-code,routing-read-write-ledger,rtk,3,0,0,375867,227326.33,5558.67,176778.67,0.00,405489.00,409663.67,351317.00,465923.00,297145.00,526357.00,1.36398767,1.13663167,0.13896667,1.25561000,1.27559833,1.11612000,1.42508250,0.97663000,1.59455500,105575.00,21499.33,20.66,-0.47,0.28745000,0.04925333,18.63,0.09
claude-code,routing-read-write-ledger,caveman,3,0,0,348136,182793.67,4448.67,132439.67,0.00,354555.00,319682.00,271065.00,385735.50,187575.00,416916.00,1.09140483,0.91396833,0.11121667,1.11484500,1.02518500,0.90777750,1.18742250,0.70071000,1.26000000,156509.00,111481.00,30.62,21.84,0.42821500,0.29966667,27.75,20.18
claude-code,helper-read-write-ledger,baseline,3,0,0,324822,157038.00,5397.33,120890.33,0.00,225496.00,283325.67,223996.50,313740.00,222497.00,401984.00,0.98056850,0.78519000,0.13493333,0.77432000,0.92012333,0.76419000,1.00315500,0.75406000,1.23199000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,helper-read-write-ledger,tokenwarden,3,0,0,289204,211128.33,5843.33,183885.67,0.00,412743.00,400857.33,283319.50,524338.00,153896.00,635933.00,1.29366783,1.05564167,0.14608333,1.21007000,1.20172500,0.87461500,1.53300750,0.53916000,1.85594500,-190246.00,-117531.67,-58.20,-37.32,-0.45601000,-0.28160167,-50.65,-26.92
claude-code,helper-read-write-ledger,context-mode,3,0,0,382738,207038.00,6662.00,172462.33,0.00,431227.00,386162.33,329810.00,465047.00,228393.00,498867.00,1.28797117,1.03519000,0.16655000,1.31863000,1.20174000,1.04840750,1.41351750,0.77818500,1.50840500,-96883.00,-102836.67,-24.10,-39.33,-0.27641500,-0.28161667,-22.44,-31.98
claude-code,helper-read-write-ledger,rtk,3,0,0,329724,158118.33,5212.00,121602.00,0.00,308337.00,284932.33,263873.50,317693.50,219410.00,327050.00,0.98169267,0.79059167,0.13030000,0.98823000,0.92089167,0.86651750,1.00893500,0.74480500,1.02964000,6086.00,-1606.67,2.70,-5.75,0.02951500,-0.00076833,3.81,-3.61
claude-code,helper-read-write-ledger,caveman,3,0,0,329726,218305.00,5514.00,182307.33,0.00,375026.00,406126.33,353927.00,442775.50,332828.00,510525.00,1.32052867,1.09152500,0.13785000,1.16410000,1.22937500,1.10184750,1.32426500,1.03959500,1.48443000,-108541.00,-122800.67,-47.60,-47.72,-0.26527500,-0.30925167,-34.26,-36.38
claude-code,core-api-read-write-ledger,baseline,3,0,0,546311,267444.00,5637.67,184535.00,0.00,470345.00,457616.67,375606.00,545991.50,280867.00,621638.00,1.57042917,1.33722000,0.14094167,1.49953000,1.47816167,1.26827250,1.69873500,1.03701500,1.89794000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,core-api-read-write-ledger,tokenwarden,3,0,0,245237,66798.33,4926.33,50595.33,0.00,126450.00,122320.00,118993.50,127711.50,111537.00,128973.00,0.48244767,0.33399167,0.12315833,0.47631000,0.45715000,0.44522000,0.47866000,0.41413000,0.48101000,341372.00,335296.67,72.58,69.87,1.02322000,1.02101167,68.24,66.68
claude-code,core-api-read-write-ledger,context-mode,3,0,0,733815,419450.33,6397.67,341710.00,0.00,960282.00,767558.00,595347.00,1036131.00,230412.00,1111980.00,2.42804833,2.09725167,0.15994167,2.84873000,2.25719333,1.80047000,3.00968500,0.75221000,3.17064000,-489937.00,-309941.33,-78.88,-55.03,-1.27270000,-0.77903167,-67.06,-43.19
claude-code,core-api-read-write-ledger,rtk,3,0,0,513841,327963.67,5057.00,244899.33,0.00,472087.00,577920.00,469238.00,633685.50,466389.00,795284.00,1.88869300,1.63981833,0.12642500,1.50378500,1.76624333,1.50069500,1.90056250,1.49760500,2.29734000,-173646.00,-120303.33,-27.93,-31.45,-0.39940000,-0.28808167,-21.04,-21.98
claude-code,core-api-read-write-ledger,caveman,3,1,0,571759,348352.33,5515.33,264075.00,0.00,616992.00,617942.67,451475.00,783935.00,285958.00,950878.00,2.01168250,1.74176167,0.13788333,1.88076500,1.87964500,1.45536500,2.30448500,1.02996500,2.72820500,-146647.00,-160326.00,-31.18,-28.65,-0.38123500,-0.40148333,-25.42,-22.83
claude-code,react-state-bug-fix,baseline,3,0,0,43889,21114.33,826.00,17587.33,0.00,39564.00,39527.67,39463.00,39610.50,39362.00,39657.00,0.13501533,0.10557167,0.02065000,0.12669500,0.12622167,0.12594000,0.12674000,0.12518500,0.12678500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,react-state-bug-fix,tokenwarden,3,0,0,55538,29033.00,1250.00,24773.00,0.00,58356.00,55056.00,51608.00,60154.00,44860.00,61952.00,0.18880150,0.14516500,0.03125000,0.18066000,0.17641500,0.16382750,0.19112500,0.14699500,0.20159000,-18994.00,-15528.33,-48.25,-39.29,-0.05387500,-0.05019333,-42.49,-39.68
claude-code,react-state-bug-fix,context-mode,3,0,0,71285,71241.67,1040.67,65023.00,0.00,127920.00,137305.33,113024.00,156894.00,98128.00,185868.00,0.41473650,0.35620833,0.02601667,0.35637500,0.38222500,0.31867750,0.43284750,0.28098000,0.50932000,-88356.00,-97777.67,-223.32,-247.10,-0.23119000,-0.25600333,-184.68,-202.77
claude-code,react-state-bug-fix,rtk,3,0,0,49155,22894.00,903.00,19032.67,0.00,42805.00,42829.67,42723.00,42924.00,42641.00,43043.00,0.14656133,0.11447000,0.02257500,0.13726000,0.13704500,0.13644750,0.13775000,0.13563500,0.13824000,-3241.00,-3302.00,-8.19,-8.36,-0.01056500,-0.01082333,-8.35,-8.57
claude-code,react-state-bug-fix,caveman,3,0,0,45146,27493.67,810.00,22953.00,0.00,46881.00,51256.67,46737.50,53588.00,46594.00,60295.00,0.16919483,0.13746833,0.02025000,0.14624500,0.15771833,0.14480500,0.16489500,0.14336500,0.18354500,-7317.00,-11729.00,-18.49,-29.72,-0.02106000,-0.03149667,-16.82,-24.92
claude-code,next-api-route-fix,baseline,3,0,0,75480,36588.67,1624.67,31639.33,0.00,69629.00,69852.67,68917.50,70676.00,68206.00,71723.00,0.23937967,0.18294333,0.04061667,0.22094500,0.22356000,0.21912250,0.22669000,0.21730000,0.23243500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,next-api-route-fix,tokenwarden,3,0,0,85970,41553.67,1747.33,35803.33,0.00,78000.00,79104.33,61931.00,95725.50,45862.00,113451.00,0.26935333,0.20776833,0.04368333,0.24834500,0.25145167,0.20254500,0.29880500,0.15674500,0.34926500,-8371.00,-9251.67,-12.02,-12.48,-0.02740000,-0.02789167,-12.40,-11.60
claude-code,next-api-route-fix,context-mode,3,0,0,142222,208641.00,4164.00,198388.33,0.00,219156.00,411193.33,187173.50,539194.50,155191.00,859233.00,1.24649917,1.04320500,0.10410000,0.62620500,1.14730500,0.53063750,1.50342250,0.43507000,2.38064000,-150950.00,-341340.67,-221.31,-490.57,-0.40890500,-0.92374500,-188.18,-417.61
claude-code,next-api-route-fix,rtk,3,0,0,69463,33968.67,1380.00,29176.00,0.00,74091.00,64524.67,59290.00,74542.50,44489.00,74994.00,0.21893133,0.16984333,0.03450000,0.22703000,0.20434333,0.18805500,0.23197500,0.14908000,0.23692000,-4462.00,5328.00,-6.41,7.20,-0.00608500,0.01921667,-2.75,8.03
claude-code,next-api-route-fix,caveman,3,0,0,72183,37039.00,1193.00,31468.00,0.00,80840.00,69700.00,63912.00,81058.00,46984.00,81276.00,0.23075400,0.18519500,0.02982500,0.24831500,0.21502000,0.19713000,0.24955750,0.14594500,0.25080000,-9117.00,152.67,-12.71,0.22,-0.01588000,0.00854000,-6.83,3.90
claude-code,cli-flag-parsing-fix,baseline,3,0,0,88673,39480.67,2011.33,34906.33,0.00,72860.00,76398.33,71270.50,79757.00,69681.00,86654.00,0.26513983,0.19740333,0.05028333,0.23661500,0.24768667,0.22899500,0.26084250,0.22137500,0.28507000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,cli-flag-parsing-fix,tokenwarden,3,0,0,102802,250747.33,5385.00,242869.00,0.00,79695.00,499001.33,62381.50,725968.00,45068.00,1372241.00,1.50979617,1.25373667,0.13462500,0.26257500,1.38836167,0.20676500,2.00706500,0.15095500,3.75155500,-6835.00,-422603.00,-9.38,-485.88,-0.02596000,-1.14067500,-10.97,-398.39
claude-code,cli-flag-parsing-fix,context-mode,3,0,0,94324,95811.67,2419.33,88523.00,0.00,156432.00,186754.00,127420.00,230927.00,98408.00,305422.00,0.58380317,0.47905833,0.06048333,0.43966500,0.53954167,0.36338250,0.66576250,0.28710000,0.89186000,-86751.00,-110355.67,-124.50,-137.34,-0.21829000,-0.29185500,-98.61,-110.93
claude-code,cli-flag-parsing-fix,rtk,3,0,0,58999,23452.67,1309.00,19381.67,0.00,43469.00,44143.33,43207.50,44742.00,42946.00,46015.00,0.15967917,0.11726333,0.03272500,0.14412000,0.14998833,0.14309750,0.15394500,0.14207500,0.16377000,26845.00,32255.00,38.37,41.68,0.07930000,0.09769833,35.82,38.68
claude-code,cli-flag-parsing-fix,caveman,3,0,0,54490,33224.33,1138.33,28236.67,0.00,47029.00,62599.33,46982.00,70431.50,46935.00,93834.00,0.20869833,0.16612167,0.02845833,0.15237000,0.19458000,0.15100500,0.21705000,0.14964000,0.28173000,22652.00,13799.00,32.51,19.93,0.06900500,0.05310667,31.17,23.03
claude-code,large-test-log-debug,baseline,3,0,0,56237,34965.33,916.00,27441.33,0.00,66591.00,63322.67,60963.00,67316.50,55335.00,68042.00,0.21144733,0.17482667,0.02290000,0.20584500,0.19772667,0.19125750,0.20825500,0.17667000,0.21066500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,large-test-log-debug,tokenwarden,3,0,0,56943,33669.00,938.67,27393.33,0.00,62565.00,62001.00,60252.50,64031.50,57940.00,65498.00,0.20550833,0.16834500,0.02346667,0.19302000,0.19181167,0.18452500,0.19970250,0.17603000,0.20638500,1093.00,1321.67,1.64,1.14,-0.00054000,0.00591500,-0.26,2.31
claude-code,large-test-log-debug,context-mode,3,0,0,76481,64283.67,882.00,56673.67,0.00,125058.00,121839.33,117261.00,128027.00,109464.00,130996.00,0.37180517,0.32141833,0.02205000,0.34591000,0.34346833,0.33149500,0.35666250,0.31708000,0.36741500,-58467.00,-58516.67,-92.52,-92.71,-0.14041000,-0.14574167,-74.41,-73.98
claude-code,large-test-log-debug,rtk,3,0,0,65535,83265.33,1628.67,74551.00,0.00,85384.00,159445.00,73851.50,208008.00,62319.00,330632.00,0.49431883,0.41632667,0.04071667,0.25773500,0.45704333,0.22216250,0.59227000,0.18659000,0.92680500,-18793.00,-96122.33,-28.22,-172.44,-0.05189000,-0.25931667,-25.21,-146.13
claude-code,large-test-log-debug,caveman,3,0,0,44450,30370.33,616.00,24767.33,0.00,48394.00,55753.67,46566.50,61261.00,44739.00,74128.00,0.17963533,0.15185167,0.01540000,0.15289000,0.16725167,0.14367000,0.18365250,0.13445000,0.21441500,18197.00,7569.00,27.33,9.20,0.05295500,0.03047500,25.73,13.51
claude-code,typecheck-flood-debug,baseline,3,3,0,55279,29124.33,1065.00,25533.33,0.00,54563.00,55722.67,46667.50,64198.00,38772.00,73833.00,0.18501333,0.14562167,0.02662500,0.17207500,0.17224667,0.14936500,0.19504250,0.12665500,0.21801000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,typecheck-flood-debug,tokenwarden,3,3,0,48167,28025.67,940.00,23782.33,0.00,57214.00,52748.00,50056.50,57672.50,42899.00,58131.00,0.17551950,0.14012833,0.02350000,0.17412500,0.16362833,0.15597250,0.17653250,0.13782000,0.17894000,11664.00,2974.67,21.27,-1.64,0.03425500,0.00861833,19.91,-0.41
claude-code,typecheck-flood-debug,context-mode,3,3,0,60381,55271.00,894.33,49608.67,0.00,96580.00,105774.00,96520.50,110430.50,96461.00,124281.00,0.32351767,0.27635500,0.02235833,0.27376000,0.29871333,0.27276250,0.31218750,0.27176500,0.35061500,-50448.00,-50051.33,-77.01,-98.04,-0.13260500,-0.12646667,-60.83,-78.16
