platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,metrics_included,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,caveman,large-test-log-debug,1,false,false,false,false,true,39425,33812,501,25778,0,60091,0.194474,0.16906000,0.01252500,0.18158500,34339,36.36,0.08782000,32.60
claude-code,baseline,typecheck-flood-debug,1,false,false,true,false,true,32680,19605,662,16740,0,37007,0.122945,0.09802500,0.01655000,0.11457500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,typecheck-flood-debug,1,false,false,true,false,true,48821,29050,978,24858,0,54886,0.182129,0.14525000,0.02445000,0.16970000,-17879,-48.31,-0.05512500,-48.11
claude-code,context-mode,typecheck-flood-debug,1,false,false,true,false,true,42563,49927,707,44544,0,95178,0.289582,0.24963500,0.01767500,0.26731000,-58171,-157.19,-0.15273500,-133.31
claude-code,rtk,typecheck-flood-debug,1,false,false,true,false,false,14,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,typecheck-flood-debug,1,false,false,true,false,true,28811,23283,491,19328,0,43102,0.138354,0.11641500,0.01227500,0.12869000,-6095,-16.47,-0.01411500,-12.32
claude-code,baseline,build-failure-debug,1,false,false,false,false,true,30448,19297,578,16098,0,35973,0.118984,0.09648500,0.01445000,0.11093500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,build-failure-debug,1,false,false,false,false,true,39009,28054,749,24277,0,53080,0.17113350000000002,0.14027000,0.01872500,0.15899500,-17107,-47.56,-0.04806000,-43.32
claude-code,context-mode,build-failure-debug,1,false,false,false,false,true,34886,49558,536,44544,0,94638,0.283462,0.24779000,0.01340000,0.26119000,-58665,-163.08,-0.15025500,-135.44
claude-code,rtk,build-failure-debug,1,false,false,true,false,false,15,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,build-failure-debug,1,false,false,false,false,true,25833,22920,425,19165,0,42510,0.1348075,0.11460000,0.01062500,0.12522500,-6537,-18.17,-0.01429000,-12.88
claude-code,baseline,multi-file-rename-migration,1,false,false,false,false,true,55503,31021,1211,27598,0,59830,0.19917900000000005,0.15510500,0.03027500,0.18538000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,multi-file-rename-migration,1,false,false,false,false,true,54236,28441,1131,24410,0,53982,0.182685,0.14220500,0.02827500,0.17048000,5848,9.77,0.01490000,8.04
claude-code,context-mode,multi-file-rename-migration,1,false,false,false,false,true,57982,63392,1029,57201,0,121622,0.3712855,0.31696000,0.02572500,0.34268500,-61792,-103.28,-0.15730500,-84.86
claude-code,rtk,multi-file-rename-migration,1,false,false,true,false,false,14,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,multi-file-rename-migration,1,false,false,false,false,true,66750,45475,1409,40865,0,87749,0.28303249999999996,0.22737500,0.03522500,0.26260000,-27919,-46.66,-0.07722000,-41.65
claude-code,baseline,feature-add-small,1,false,false,false,false,true,31223,19555,582,16099,0,36236,0.1203745,0.09777500,0.01455000,0.11232500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,feature-add-small,1,false,false,false,false,true,41426,22270,819,18532,0,41621,0.141091,0.11135000,0.02047500,0.13182500,-5385,-14.86,-0.01950000,-17.36
