platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,core-api-read-write-ledger,context-mode,3,0,0,539104,255266.00,2681.33,223454.33,0.00,213963.00,481401.67,212855.50,616228.50,211748.00,1018494.00,1.85283617,1.27633000,0.06703333,0.56878500,1.34336333,0.56790250,1.73153500,0.56702000,2.89428500,261133.00,178083.67,55.22,35.99,0.93217000,0.62004167,62.18,39.78
claude-code,core-api-read-write-ledger,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,585860.00,659485.33,100.00,100.00,1.78166500,1.96340500,100.00,100.00
claude-code,core-api-read-write-ledger,caveman,3,3,0,599348,187339.67,3724.67,104116.33,0.00,290708.00,295180.67,274592.00,313533.00,258476.00,336358.00,1.08187317,0.93669833,0.09311667,1.01713500,1.02981500,0.94458250,1.10870750,0.87203000,1.20028000,249502.00,364304.67,42.59,51.00,0.58138500,0.93359000,32.63,43.79
claude-code,react-state-bug-fix,baseline,3,0,0,44055,22412.00,877.33,18932.33,0.00,39715.00,42221.67,38664.00,44526.00,37613.00,49337.00,0.14345950,0.11206000,0.02193333,0.13071000,0.13399333,0.12460000,0.14174500,0.11849000,0.15278000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,react-state-bug-fix,tokenwarden,3,0,0,57648,33744.33,1365.33,29290.33,0.00,44813.00,64400.00,43755.00,75251.50,42697.00,105690.00,0.21750017,0.16872167,0.03413333,0.14941500,0.20285500,0.14272750,0.23626250,0.13604000,0.32311000,-2982.00,-22178.33,-7.51,-59.78,-0.00533000,-0.06886167,-4.08,-58.19
claude-code,react-state-bug-fix,context-mode,3,0,0,50923,75314.67,1160.33,68866.67,0.00,125688.00,145341.67,111058.00,169798.50,96428.00,213909.00,0.44001500,0.37657333,0.02900833,0.34853500,0.40558167,0.30967750,0.47296250,0.27082000,0.59739000,-85973.00,-103120.00,-216.47,-235.47,-0.21782500,-0.27158833,-166.65,-195.41
claude-code,react-state-bug-fix,rtk,3,3,0,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,39715.00,42221.67,100.00,100.00,0.13071000,0.13399333,100.00,100.00
claude-code,react-state-bug-fix,caveman,3,0,0,31354,30674.33,624.67,26355.67,0.00,55868.00,57654.67,50056.50,64359.50,44245.00,72851.00,0.18216617,0.15337167,0.01561667,0.16201000,0.16898833,0.14749250,0.18699500,0.13297500,0.21198000,-16153.00,-15433.00,-40.67,-41.35,-0.03130000,-0.03499500,-23.95,-29.96
claude-code,next-api-route-fix,baseline,3,0,0,56292,30148.67,1218.33,25925.00,0.00,65224.00,57292.00,52432.00,66118.00,39640.00,67012.00,0.19416417,0.15074333,0.03045833,0.20017000,0.18120167,0.16600500,0.20588250,0.13184000,0.21159500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,next-api-route-fix,tokenwarden,3,0,0,70924,33786.33,1402.33,28923.33,0.00,74205.00,64112.00,58963.00,74307.50,43721.00,74410.00,0.21845167,0.16893167,0.03505833,0.23192000,0.20399000,0.18866500,0.23328000,0.14541000,0.23464000,-7398.00,-6820.00,-11.04,-21.76,-0.02304500,-0.02278833,-10.89,-19.81
claude-code,next-api-route-fix,context-mode,3,0,0,77779,70342.67,1300.67,63550.33,0.00,152836.00,135193.67,124928.00,154280.50,97020.00,155725.00,0.41600517,0.35171333,0.03251667,0.43337000,0.38423000,0.35519500,0.43783500,0.27702000,0.44230000,-87612.00,-77901.67,-134.32,-137.15,-0.23070500,-0.20302833,-110.12,-111.88
claude-code,next-api-route-fix,rtk,3,3,0,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,65224.00,57292.00,100.00,100.00,0.20017000,0.18120167,100.00,100.00
claude-code,next-api-route-fix,caveman,3,0,0,39144,29641.00,840.00,24743.33,0.00,45125.00,55224.33,45040.50,60358.50,44956.00,75592.00,0.18157667,0.14820500,0.02100000,0.14054000,0.16920500,0.13909750,0.18498000,0.13765500,0.22942000,20099.00,2067.67,30.82,-8.99,0.05963000,0.01199667,29.79,-3.09
claude-code,cli-flag-parsing-fix,baseline,3,0,0,67373,29962.33,1503.00,26120.67,0.00,64993.00,57586.00,53159.00,65716.50,41325.00,66440.00,0.20044700,0.14981167,0.03757500,0.20662000,0.18738667,0.17487250,0.20951750,0.14312500,0.21241500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,cli-flag-parsing-fix,tokenwarden,3,0,0,75204,35103.67,1407.33,30512.00,0.00,72924.00,67023.00,57980.00,79016.50,43036.00,85109.00,0.22595767,0.17551833,0.03518333,0.23121500,0.21070167,0.18545750,0.24620250,0.13970000,0.26119000,-20116.00,-9437.00,-30.95,-24.06,-0.05457000,-0.02331500,-26.41,-17.91
claude-code,cli-flag-parsing-fix,context-mode,3,0,0,82630,160373.33,2473.67,152805.00,0.00,154759.00,315652.00,125624.00,425233.50,96489.00,695708.00,0.94011083,0.80186667,0.06184167,0.44051000,0.86370833,0.35897750,1.15684000,0.27744500,1.87317000,-89766.00,-258066.00,-138.12,-406.24,-0.23389000,-0.67632167,-113.20,-329.63
claude-code,cli-flag-parsing-fix,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,64993.00,57586.00,100.00,100.00,0.20662000,0.18738667,100.00,100.00
claude-code,cli-flag-parsing-fix,caveman,3,0,0,99898,63385.00,1900.33,57445.33,0.00,114513.00,122730.67,101340.00,140012.50,88167.00,165512.00,0.39315600,0.31692500,0.04750833,0.35679500,0.36443333,0.30752750,0.41752000,0.25826000,0.47824500,-49520.00,-65144.67,-113.35,-112.89,-0.15017500,-0.17704667,-80.44,-92.76
claude-code,large-test-log-debug,baseline,3,0,0,50172,38462.33,922.00,31907.33,0.00,66086.00,71291.67,59722.50,80258.00,53359.00,94430.00,0.23131533,0.19231167,0.02305000,0.20687000,0.21536167,0.18834000,0.23813750,0.16981000,0.26940500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,large-test-log-debug,tokenwarden,3,0,0,47623,33060.33,747.67,25385.00,0.00,59218.00,59193.00,57455.50,60943.00,55693.00,62668.00,0.19668583,0.16530167,0.01869167,0.18365500,0.18399333,0.17541250,0.19240500,0.16717000,0.20115500,10393.00,12098.67,15.73,12.79,0.03970000,0.03136833,19.19,12.12
claude-code,large-test-log-debug,context-mode,3,0,0,46606,63252.00,733.33,56998.00,0.00,128478.00,120983.33,115731.50,129982.50,102985.00,131487.00,0.36309233,0.31626000,0.01833333,0.35362000,0.33459333,0.32179500,0.35690500,0.28997000,0.36019000,-49626.00,-49691.67,-93.00,-75.55,-0.12016000,-0.11923167,-70.76,-58.47
claude-code,large-test-log-debug,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66086.00,71291.67,100.00,100.00,0.20687000,0.21536167,100.00,100.00
claude-code,large-test-log-debug,caveman,3,0,0,34984,29188.33,490.67,22264.67,0.00,49262.00,51943.67,47870.00,54676.50,46478.00,60091.00,0.16934067,0.14594167,0.01226667,0.14826500,0.15820833,0.14652000,0.16492500,0.14477500,0.18158500,19608.00,19348.00,29.67,24.57,0.06209500,0.05715333,30.02,25.10
claude-code,typecheck-flood-debug,baseline,3,3,0,63367,43189.67,1145.67,39581.33,0.00,96931.00,83916.67,66969.00,107371.50,37007.00,117812.00,0.26438067,0.21594833,0.02864167,0.28272500,0.24459000,0.19865000,0.30959750,0.11457500,0.33647000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,typecheck-flood-debug,tokenwarden,3,3,0,48821,30168.33,951.67,25733.67,0.00,56999.00,56853.67,55942.50,57837.50,54886.00,58676.00,0.18750017,0.15084167,0.02379167,0.17218500,0.17463333,0.17094250,0.17710000,0.16970000,0.18201500,38255.00,27063.00,39.47,14.26,0.10071000,0.06995667,35.62,12.11
claude-code,typecheck-flood-debug,context-mode,3,3,0,42563,54626.00,726.67,49176.67,0.00,95178.00,104529.33,95162.00,109221.00,95146.00,123264.00,0.31588500,0.27313000,0.01816667,0.26731000,0.29129667,0.26674000,0.30386000,0.26617000,0.34041000,-5452.00,-20612.67,-4.63,-53.33,-0.00394000,-0.04670667,-1.17,-42.87
claude-code,typecheck-flood-debug,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,96931.00,83916.67,100.00,100.00,0.28272500,0.24459000,100.00,100.00
claude-code,typecheck-flood-debug,caveman,3,3,0,37634,26232.33,642.67,21989.33,0.00,44015.00,48864.33,43558.50,51745.50,43102.00,59476.00,0.15822300,0.13116167,0.01606667,0.13722000,0.14722833,0.13295500,0.15649750,0.12869000,0.17577500,37455.00,35052.33,38.64,28.27,0.10695000,0.09736167,37.83,28.24
claude-code,build-failure-debug,baseline,3,0,0,29383,19277.00,567.33,16245.33,0.00,36130.00,36089.67,36051.50,36148.00,35973.00,36166.00,0.11869100,0.09638500,0.01418333,0.11051000,0.11056833,0.11038500,0.11072250,0.11026000,0.11093500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,build-failure-debug,tokenwarden,3,0,0,39009,23864.67,698.00,20284.33,0.00,41008.00,44847.00,40730.50,47044.00,40453.00,53080.00,0.14691550,0.11932333,0.01745000,0.12904000,0.13677333,0.12566250,0.14401750,0.12228500,0.15899500,-4842.00,-8757.33,-13.39,-24.30,-0.01853000,-0.02620500,-16.77,-23.67
claude-code,build-failure-debug,context-mode,3,0,0,37556,54205.00,622.67,49112.33,0.00,94801.00,103940.00,94719.50,108591.00,94638.00,122381.00,0.31114783,0.27102500,0.01556667,0.26318500,0.28659167,0.26218750,0.29929250,0.26119000,0.33540000,-58671.00,-67850.33,-163.08,-187.95,-0.15292500,-0.17602333,-138.69,-159.21
claude-code,build-failure-debug,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,36130.00,36089.67,100.00,100.00,0.11051000,0.11056833,100.00,100.00
claude-code,build-failure-debug,caveman,3,0,0,26821,22921.67,443.00,19133.67,0.00,42510.00,42498.33,42489.50,42513.00,42469.00,42516.00,0.13525017,0.11460833,0.01107500,0.12579500,0.12568333,0.12551000,0.12591250,0.12522500,0.12603000,-6350.00,-6408.67,-17.56,-17.76,-0.01528500,-0.01511500,-13.83,-13.67
claude-code,multi-file-rename-migration,baseline,3,0,0,55758,31414.00,1262.67,28096.00,0.00,60825.00,60772.67,60327.50,61244.00,59830.00,61663.00,0.20268467,0.15707000,0.03156667,0.18786000,0.18863667,0.18662000,0.19026500,0.18538000,0.19267000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,multi-file-rename-migration,tokenwarden,3,0,0,54236,28627.67,1144.67,24677.33,0.00,53982.00,54449.67,53786.50,54879.00,53591.00,55776.00,0.18409367,0.14313833,0.02861667,0.17048000,0.17175500,0.16790000,0.17497250,0.16532000,0.17946500,5887.00,6323.00,9.77,10.40,0.01490000,0.01688167,8.04,8.96
claude-code,multi-file-rename-migration,context-mode,3,0,0,58498,63591.67,1138.00,57597.00,0.00,122392.00,122326.67,122007.00,122679.00,121622.00,122966.00,0.37520683,0.31795833,0.02845000,0.34549000,0.34640833,0.34408750,0.34827000,0.34268500,0.35105000,-61792.00,-61554.00,-102.16,-101.31,-0.15763000,-0.15777167,-83.91,-83.66
claude-code,multi-file-rename-migration,rtk,3,3,0,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60825.00,60772.67,100.00,100.00,0.18786000,0.18863667,100.00,100.00
claude-code,multi-file-rename-migration,caveman,3,0,0,47274,37565.67,1095.33,33276.67,0.00,70636.00,71937.67,64032.00,79192.50,57428.00,87749.00,0.23185000,0.18782833,0.02738333,0.20788000,0.21521167,0.19151750,0.23524000,0.17515500,0.26260000,-9811.00,-11165.00,-16.13,-18.64,-0.02002000,-0.02657500,-10.66,-14.41
claude-code,feature-add-small,baseline,3,0,0,31883,23880.67,800.67,20391.00,0.00,36536.00,45072.33,36386.00,49490.50,36236.00,62445.00,0.14961550,0.11940333,0.02001667,0.11315500,0.13942000,0.11274000,0.15296750,0.11232500,0.19278000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,feature-add-small,tokenwarden,3,0,0,39739,22140.00,751.67,18554.00,0.00,41428.00,41445.67,41358.00,41524.50,41288.00,41621.00,0.13876867,0.11070000,0.01879167,0.13033000,0.12949167,0.12832500,0.13107750,0.12632000,0.13182500,-4752.00,3626.67,-13.01,1.93,-0.01316500,0.00992833,-11.63,1.13
claude-code,feature-add-small,context-mode,3,0,0,36589,49898.00,584.33,44632.00,0.00,95157.00,95114.33,95077.50,95172.50,94998.00,95188.00,0.28641433,0.24949000,0.01460833,0.26337000,0.26409833,0.26326500,0.26456750,0.26316000,0.26576500,-58462.00,-50042.00,-160.01,-125.02,-0.15021500,-0.12467833,-132.75,-101.95
claude-code,feature-add-small,rtk,3,3,0,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,36536.00,45072.33,100.00,100.00,0.11315500,0.13942000,100.00,100.00
claude-code,feature-add-small,caveman,3,0,0,29591,23312.00,525.00,19286.67,0.00,43015.00,43123.67,43009.00,43184.00,43003.00,43353.00,0.13932833,0.11656000,0.01312500,0.12892000,0.12968500,0.12867500,0.13031250,0.12843000,0.13170500,-6467.00,1948.67,-17.70,-1.94,-0.01527500,0.00973500,-13.50,1.14
claude-code,refactor-no-behavior-change,baseline,3,0,0,29619,19665.33,596.67,16787.00,0.00,36992.00,37049.00,36895.00,37174.50,36798.00,37357.00,0.12163683,0.09832667,0.01491667,0.11254000,0.11324333,0.11146500,0.11467000,0.11039000,0.11680000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,refactor-no-behavior-change,tokenwarden,3,0,0,37710,22216.33,712.33,18841.00,0.00,41839.00,41769.67,41652.50,41921.50,41466.00,42004.00,0.13831050,0.11108167,0.01780833,0.12984500,0.12889000,0.12807250,0.13018500,0.12630000,0.13052500,-4668.00,-4720.67,-12.69,-12.74,-0.01591000,-0.01564667,-14.41,-13.85
claude-code,refactor-no-behavior-change,context-mode,3,0,0,40063,49956.00,648.00,44835.33,0.00,95400.00,95439.33,95377.50,95481.50,95355.00,95563.00,0.28839767,0.24978000,0.01620000,0.26603500,0.26598000,0.26517500,0.26681250,0.26431500,0.26759000,-58363.00,-58390.33,-157.77,-157.61,-0.15349500,-0.15273667,-136.39,-135.03
claude-code,refactor-no-behavior-change,rtk,3,3,0,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,36992.00,37049.00,100.00,100.00,0.11254000,0.11324333,100.00,100.00
claude-code,refactor-no-behavior-change,caveman,3,0,0,29039,45195.00,790.00,40718.67,0.00,43451.00,86703.67,43447.00,108334.00,43443.00,173217.00,0.26608433,0.22597500,0.01975000,0.12933500,0.24572500,0.12933000,0.30392500,0.12932500,0.47851500,-6653.00,-49654.67,-18.08,-134.21,-0.01893500,-0.13248167,-17.15,-117.69
claude-code,code-review-diagnosis,baseline,3,3,0,62987,23768.33,1600.00,20491.67,0.00,37157.00,45860.00,33083.00,54285.50,29009.00,71414.00,0.16908750,0.11884167,0.04000000,0.13061000,0.15884167,0.12150750,0.18206000,0.11240500,0.23351000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,code-review-diagnosis,tokenwarden,3,3,0,68824,22219.33,1495.67,18985.67,0.00,41766.00,42700.67,37021.50,47912.50,32277.00,54059.00,0.15798117,0.11109667,0.03739167,0.14164000,0.14848833,0.13344250,0.16011000,0.12524500,0.17858000,-12757.00,3159.33,-43.98,-11.55,-0.02923500,0.01035333,-26.01,-5.46
claude-code,code-review-diagnosis,context-mode,3,3,0,48234,37180.33,919.33,32880.33,0.00,71042.00,70980.00,70620.00,71371.00,70198.00,71700.00,0.22532517,0.18590167,0.02298333,0.20941500,0.20888500,0.20523250,0.21280250,0.20105000,0.21619000,-34543.00,-25120.00,-92.96,-78.72,-0.08558000,-0.05004333,-65.52,-45.98
claude-code,code-review-diagnosis,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,37157.00,45860.00,100.00,100.00,0.13061000,0.15884167,100.00,100.00
claude-code,code-review-diagnosis,caveman,3,3,0,37990,23165.67,846.67,19574.33,0.00,43265.00,43586.67,43195.50,43817.00,43126.00,44369.00,0.14678217,0.11582833,0.02116667,0.13386000,0.13699500,0.13321500,0.13920750,0.13257000,0.14455500,-7212.00,2273.33,-19.41,-9.65,-0.01394500,0.02184667,-10.68,4.69
claude-code,docs-from-code,baseline,3,0,0,32944,16225.67,777.00,13492.33,0.00,26624.00,30495.00,26563.00,32491.50,26502.00,38359.00,0.10729950,0.08112833,0.01942500,0.08861500,0.10055333,0.08816000,0.10697750,0.08770500,0.12534000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,docs-from-code,tokenwarden,3,0,0,41324,24016.33,853.67,20548.67,0.00,52655.00,45418.67,41099.50,53356.00,29544.00,54057.00,0.15169767,0.12008167,0.02134167,0.15909000,0.14142333,0.12834250,0.16333750,0.09759500,0.16758500,-15698.00,-14923.67,-40.92,-50.19,-0.04224500,-0.04087000,-33.70,-41.74
claude-code,docs-from-code,context-mode,3,0,0,40947,37149.33,731.67,32751.33,0.00,70594.00,70632.33,70593.50,70652.00,70593.00,70710.00,0.22041400,0.18574667,0.01829167,0.20414000,0.20403833,0.20309000,0.20503750,0.20204000,0.20593500,-44086.00,-40137.33,-165.59,-138.66,-0.11342500,-0.10348500,-128.00,-108.35
claude-code,docs-from-code,rtk,3,3,0,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,26624.00,30495.00,100.00,100.00,0.08861500,0.10055333,100.00,100.00
claude-code,docs-from-code,caveman,3,1,0,37232,24959.00,691.00,21374.00,0.00,43367.00,47024.00,37218.00,55001.50,31069.00,66636.00,0.15275700,0.12479500,0.01727500,0.13401000,0.14207000,0.11637000,0.16374000,0.09873000,0.19347000,-16865.00,-16529.00,-63.64,-51.35,-0.04630500,-0.04151667,-52.80,-39.52
