platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,routing-read-write-ledger,baseline,3,0,0,329716,229108.33,4322.33,180235.33,0.00,389437.00,413666.00,361211.00,454006.50,332985.00,518576.00,1.34371767,1.14554167,0.10805833,1.19496000,1.25360000,1.12342750,1.35445250,1.05189500,1.51394500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,routing-read-write-ledger,tokenwarden,3,0,0,198524,108081.67,4036.33,94182.67,0.00,154530.00,206300.67,150410.50,236305.50,146291.00,318081.00,0.68840800,0.54040833,0.10090833,0.51102000,0.64131667,0.49112500,0.72636000,0.47123000,0.94170000,178455.00,207365.33,53.59,47.90,0.54087500,0.61228333,51.42,47.16
claude-code,routing-read-write-ledger,context-mode,3,1,0,406003,322514.33,5058.00,267266.67,0.00,615209.00,594839.00,553938.50,645924.50,492668.00,676640.00,1.87265500,1.61257167,0.12645000,1.79208000,1.73902167,1.63629000,1.86828250,1.48050000,1.94448500,-225772.00,-181173.00,-57.97,-52.06,-0.59712000,-0.48542167,-49.97,-44.21
claude-code,routing-read-write-ledger,rtk,3,3,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,389437.00,413666.00,100.00,100.00,1.19496000,1.25360000,100.00,100.00
claude-code,routing-read-write-ledger,caveman,3,0,0,293767,203643.33,3420.00,153909.00,0.00,399259.00,360972.33,289625.50,451462.50,179992.00,503666.00,1.18067117,1.01821667,0.08550000,1.20515000,1.10371667,0.92486500,1.33328500,0.64458000,1.46142000,14910.00,52693.67,2.88,15.43,0.05252500,0.14988333,3.47,13.78
claude-code,helper-read-write-ledger,baseline,3,0,0,280988,167763.00,4625.67,133696.33,0.00,279245.00,306085.00,276986.50,321763.50,274728.00,364282.00,1.02130483,0.83881500,0.11564167,0.91203000,0.95445667,0.89052000,0.99718000,0.86901000,1.08233000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,helper-read-write-ledger,tokenwarden,3,0,0,275501,206969.67,4931.33,183167.33,0.00,244295.00,395068.33,241809.50,472940.50,239324.00,701586.00,1.24971533,1.03484833,0.12328333,0.78625000,1.15813167,0.76567500,1.36464750,0.74510000,1.94304500,30433.00,-88983.33,11.08,-22.41,0.08276000,-0.20367500,9.52,-17.23
claude-code,helper-read-write-ledger,context-mode,3,0,0,287739,229108.00,4034.33,186438.67,0.00,260973.00,419581.00,231514.50,528343.50,202056.00,795714.00,1.33961767,1.14554000,0.10085833,0.84304000,1.24639833,0.75146250,1.53965500,0.65988500,2.23627000,13755.00,-113496.00,5.01,-28.59,0.02597000,-0.29194167,2.99,-25.33
claude-code,helper-read-write-ledger,rtk,3,3,0,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,279245.00,306085.00,100.00,100.00,0.91203000,0.95445667,100.00,100.00
claude-code,helper-read-write-ledger,caveman,3,1,0,268262,149498.67,4143.33,113314.33,0.00,223943.00,266956.33,223407.50,288998.50,222872.00,354054.00,0.90773383,0.74749333,0.10358333,0.75771500,0.85107667,0.74781000,0.90766250,0.73790500,1.05761000,55302.00,39128.67,19.80,9.92,0.15431500,0.10338000,16.92,9.01
claude-code,core-api-read-write-ledger,baseline,3,0,0,506254,368406.00,4855.00,286224.33,0.00,585860.00,659485.33,529370.50,752787.50,472881.00,919715.00,2.10651717,1.84203000,0.12137500,1.78166500,1.96340500,1.64042750,2.19551250,1.49919000,2.60936000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,core-api-read-write-ledger,tokenwarden,3,0,0,225653,64843.33,4767.33,47244.67,0.00,116781.00,116855.33,98198.00,135475.50,79615.00,154170.00,0.46702233,0.32421667,0.11918333,0.42355000,0.44340000,0.38284250,0.49403250,0.34213500,0.56451500,506245.00,542630.00,86.41,80.37,1.43953000,1.52000500,80.80,75.64
