plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
baseline,routing-read-write-ledger,1,false,false,false,false,331596,350629,4836,0,0,355944,0,1.75314500,0.12090000,1.87404500,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,1,false,false,false,false,109741,46405,3069,0,0,50029,0,0.23202500,0.07672500,0.30875000,305915,85.94,1.56529500,83.52
openslimedit,routing-read-write-ledger,1,false,false,false,false,282193,219710,3982,0,0,224337,0,1.09855000,0.09955000,1.19810000,131607,36.97,0.67594500,36.07
dcp,routing-read-write-ledger,1,false,false,false,false,354613,397320,5286,0,0,402928,0,1.98660000,0.13215000,2.11875000,-46984,-13.20,-0.24470500,-13.06
openrtk,routing-read-write-ledger,1,false,false,false,false,497022,636830,8694,0,0,646721,0,3.18415000,0.21735000,3.40150000,-290777,-81.69,-1.52745500,-81.51
baseline,helper-read-write-ledger,1,false,false,false,false,249250,365275,4521,0,0,370152,0,1.82637500,0.11302500,1.93940000,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,1,false,false,false,false,204261,339801,5182,0,0,345495,0,1.69900500,0.12955000,1.82855500,24657,6.66,0.11084500,5.72
openslimedit,helper-read-write-ledger,1,false,false,false,false,281286,355995,5271,0,0,361740,0,1.77997500,0.13177500,1.91175000,8412,2.27,0.02765000,1.43
dcp,helper-read-write-ledger,1,false,false,false,false,255676,220014,4137,0,0,224615,0,1.10007000,0.10342500,1.20349500,145537,39.32,0.73590500,37.94
openrtk,helper-read-write-ledger,1,false,false,false,false,182551,109736,3342,0,0,113614,0,0.54868000,0.08355000,0.63223000,256538,69.31,1.30717000,67.40
baseline,core-api-read-write-ledger,1,false,false,false,false,365477,526276,4248,0,0,530695,0,2.63138000,0.10620000,2.73758000,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,1,false,false,false,false,493332,294245,13510,0,0,310339,0,1.47122500,0.33775000,1.80897500,220356,41.52,0.92860500,33.92
openslimedit,core-api-read-write-ledger,1,false,false,false,false,714940,696753,5465,0,0,702742,0,3.48376500,0.13662500,3.62039000,-172047,-32.42,-0.88281000,-32.25
dcp,core-api-read-write-ledger,1,false,false,false,false,384716,420967,4398,0,0,425546,0,2.10483500,0.10995000,2.21478500,105149,19.81,0.52279500,19.10
openrtk,core-api-read-write-ledger,1,false,false,false,false,160861,101614,3187,0,0,105430,0,0.50807000,0.07967500,0.58774500,425265,80.13,2.14983500,78.53
baseline,react-state-bug-fix,1,false,false,false,false,43789,30308,683,0,0,31691,0,0.15154000,0.01707500,0.16861500,0,0.00,0.00000000,0.00
tokenwarden,react-state-bug-fix,1,false,false,false,false,44927,32736,665,0,0,33816,0,0.16368000,0.01662500,0.18030500,-2125,-6.71,-0.01169000,-6.93
openslimedit,react-state-bug-fix,1,false,false,false,false,82803,69311,1517,0,0,71886,0,0.34655500,0.03792500,0.38448000,-40195,-126.83,-0.21586500,-128.02
dcp,react-state-bug-fix,1,false,false,false,false,60131,56558,856,0,0,57626,0,0.28279000,0.02140000,0.30419000,-25935,-81.84,-0.13557500,-80.41
openrtk,react-state-bug-fix,1,false,false,false,false,52581,40151,710,0,0,41624,0,0.20075500,0.01775000,0.21850500,-9933,-31.34,-0.04989000,-29.59
baseline,next-api-route-fix,1,false,false,false,false,31733,29391,676,0,0,30228,0,0.14695500,0.01690000,0.16385500,0,0.00,0.00000000,0.00
tokenwarden,next-api-route-fix,1,false,false,false,false,35623,32264,637,0,0,33005,0,0.16132000,0.01592500,0.17724500,-2777,-9.19,-0.01339000,-8.17
openslimedit,next-api-route-fix,1,false,false,false,false,60430,64360,1006,0,0,65937,0,0.32180000,0.02515000,0.34695000,-35709,-118.13,-0.18309500,-111.74
dcp,next-api-route-fix,1,false,false,false,false,43811,35709,775,0,0,36588,0,0.17854500,0.01937500,0.19792000,-6360,-21.04,-0.03406500,-20.79
openrtk,next-api-route-fix,1,false,false,false,false,34264,29181,613,0,0,29910,0,0.14590500,0.01532500,0.16123000,318,1.05,0.00262500,1.60
baseline,cli-flag-parsing-fix,1,false,false,false,false,206848,218951,3666,0,0,226830,0,1.09475500,0.09165000,1.18640500,0,0.00,0.00000000,0.00
tokenwarden,cli-flag-parsing-fix,1,false,false,false,false,52494,51609,1169,0,0,52977,0,0.25804500,0.02922500,0.28727000,173853,76.64,0.89913500,75.79
openslimedit,cli-flag-parsing-fix,1,false,false,false,false,284033,172319,3420,0,0,183600,0,0.86159500,0.08550000,0.94709500,43230,19.06,0.23931000,20.17
dcp,cli-flag-parsing-fix,1,false,false,false,false,63445,56461,1144,0,0,57787,0,0.28230500,0.02860000,0.31090500,169043,74.52,0.87550000,73.79
openrtk,cli-flag-parsing-fix,1,false,false,false,false,91472,81555,2188,0,0,84566,0,0.40777500,0.05470000,0.46247500,142264,62.72,0.72393000,61.02
baseline,large-test-log-debug,1,false,false,false,false,42047,41468,559,0,0,42290,0,0.20734000,0.01397500,0.22131500,0,0.00,0.00000000,0.00
tokenwarden,large-test-log-debug,1,false,false,false,false,34819,31451,541,0,0,32092,0,0.15725500,0.01352500,0.17078000,10198,24.11,0.05053500,22.83
openslimedit,large-test-log-debug,1,false,false,false,false,40857,25391,670,0,0,26292,0,0.12695500,0.01675000,0.14370500,15998,37.83,0.07761000,35.07
dcp,large-test-log-debug,1,false,false,false,false,49803,48932,524,0,0,49592,0,0.24466000,0.01310000,0.25776000,-7302,-17.27,-0.03644500,-16.47
openrtk,large-test-log-debug,1,false,false,false,false,96268,121761,645,0,0,122635,0,0.60880500,0.01612500,0.62493000,-80345,-189.99,-0.40361500,-182.37
baseline,typecheck-flood-debug,1,false,false,true,false,34614,38316,773,0,0,39224,0,0.19158000,0.01932500,0.21090500,0,0.00,0.00000000,0.00
tokenwarden,typecheck-flood-debug,1,false,false,true,false,48519,54265,1022,0,0,55422,0,0.27132500,0.02555000,0.29687500,-16198,-41.30,-0.08597000,-40.76
openslimedit,typecheck-flood-debug,1,false,false,true,false,42074,27670,591,0,0,28602,0,0.13835000,0.01477500,0.15312500,10622,27.08,0.05778000,27.40
dcp,typecheck-flood-debug,1,false,false,true,false,51063,46155,767,0,0,47088,0,0.23077500,0.01917500,0.24995000,-7864,-20.05,-0.03904500,-18.51
openrtk,typecheck-flood-debug,1,false,false,true,false,48325,47363,707,0,0,48605,0,0.23681500,0.01767500,0.25449000,-9381,-23.92,-0.04358500,-20.67
baseline,build-failure-debug,1,false,false,false,false,25537,27804,459,0,0,28382,0,0.13902000,0.01147500,0.15049500,0,0.00,0.00000000,0.00
tokenwarden,build-failure-debug,1,false,false,false,false,39902,39764,546,0,0,40480,0,0.19882000,0.01365000,0.21247000,-12098,-42.63,-0.06197500,-41.18
openslimedit,build-failure-debug,1,false,false,false,false,31212,18845,377,0,0,19353,0,0.09422500,0.00942500,0.10365000,9029,31.81,0.04684500,31.13
dcp,build-failure-debug,1,false,false,false,false,39002,35150,599,0,0,35850,0,0.17575000,0.01497500,0.19072500,-7468,-26.31,-0.04023000,-26.73
openrtk,build-failure-debug,1,false,false,false,false,29960,20652,493,0,0,21240,0,0.10326000,0.01232500,0.11558500,7142,25.16,0.03491000,23.20
baseline,multi-file-rename-migration,1,false,false,false,false,231517,463324,3418,0,0,468112,0,2.31662000,0.08545000,2.40207000,0,0.00,0.00000000,0.00
tokenwarden,multi-file-rename-migration,1,false,false,false,false,55372,58233,1059,0,0,59458,0,0.29116500,0.02647500,0.31764000,408654,87.30,2.08443000,86.78
openslimedit,multi-file-rename-migration,1,false,false,false,false,46181,25544,904,0,0,26620,0,0.12772000,0.02260000,0.15032000,441492,94.31,2.25175000,93.74
dcp,multi-file-rename-migration,1,false,false,false,false,56005,61889,785,0,0,62880,0,0.30944500,0.01962500,0.32907000,405232,86.57,2.07300000,86.30
