task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
routing-read-write-ledger,baseline,3,0,0,388106,579829.67,6375.67,0.00,0.00,395052.00,586957.33,375498.00,702464.00,355944.00,1009876.00,0.00000000,2.89914833,0.15939167,2.13949500,3.05854000,2.00677000,3.65078750,1.87404500,5.16208000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
routing-read-write-ledger,tokenwarden,3,2,0,190139,198633.00,4585.33,0.00,0.00,205956.00,204131.00,127992.50,281182.00,50029.00,356408.00,0.00000000,0.99316500,0.11463333,1.11031500,1.10779833,0.70953250,1.50732250,0.30875000,1.90433000,305915.00,382826.33,64.71,66.17,1.56529500,1.95074167,63.11,64.91
routing-read-write-ledger,openslimedit,3,0,0,292859,353492.00,4163.33,0.00,0.00,256667.00,358230.00,240502.00,425176.50,224337.00,593686.00,0.00000000,1.76746000,0.10408333,1.36434000,1.87154333,1.28122000,2.20826500,1.19810000,3.05219000,138385.00,228727.33,36.97,37.74,0.77515500,1.18699667,36.23,37.72
routing-read-write-ledger,dcp,3,0,0,401032,470559.33,6713.00,0.00,0.00,474094.00,477600.33,438511.00,514936.50,402928.00,555779.00,0.00000000,2.35279667,0.16782500,2.48183500,2.52062167,2.30029250,2.72155750,2.11875000,2.96128000,-46984.00,109357.00,-13.20,-0.28,-0.24470500,0.53791833,-13.06,0.15
routing-read-write-ledger,openrtk,3,0,0,458959,431483.67,7230.33,0.00,0.00,467591.00,439351.67,335667.00,557156.00,203743.00,646721.00,0.00000000,2.15741833,0.18075833,2.50997500,2.33817667,1.80651500,2.95573750,1.10305500,3.40150000,191309.00,147605.67,48.43,6.81,1.03644000,0.72036333,48.44,6.10
helper-read-write-ledger,baseline,3,0,0,254906,387728.33,4952.33,0.00,0.00,370152.00,393765.33,237502.00,538222.00,104852.00,706292.00,0.00000000,1.93864167,0.12380833,1.93940000,2.06245000,1.26932750,2.79404750,0.59925500,3.64869500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
helper-read-write-ledger,tokenwarden,3,0,0,255819,454096.33,6310.67,0.00,0.00,357143.00,461731.00,351319.00,519849.00,345495.00,682555.00,0.00000000,2.27048167,0.15776667,1.90252000,2.42824833,1.86553750,2.72809500,1.82855500,3.55367000,24657.00,-67965.67,6.66,-164.96,0.11084500,-0.36579833,5.72,-146.48
helper-read-write-ledger,openslimedit,3,0,0,281286,340452.00,4645.67,0.00,0.00,361740.00,346226.00,293426.00,406783.00,225112.00,451826.00,0.00000000,1.70226000,0.11614167,1.91175000,1.81840167,1.55545750,2.12802000,1.19916500,2.34429000,8412.00,47539.33,2.27,-25.46,0.02765000,0.24404833,1.43,-20.98
helper-read-write-ledger,dcp,3,0,0,279148,233356.67,4695.00,0.00,0.00,244874.00,238322.33,234744.50,245176.00,224615.00,245478.00,0.00000000,1.16678333,0.11737500,1.32073000,1.28415833,1.26211250,1.32449000,1.20349500,1.32825000,145537.00,155443.00,39.32,-9.82,0.73590500,0.77829167,37.94,-6.28
helper-read-write-ledger,openrtk,3,0,0,250365,1356559.67,9689.33,0.00,0.00,326701.00,1368240.67,220157.50,1995554.00,113614.00,3664407.00,0.00000000,6.78279833,0.24223333,1.72383500,7.02503167,1.17803250,10.22143250,0.63223000,18.71903000,-221849.00,-974475.33,-211.58,-187.03,-1.12458000,-4.96258167,-187.66,-177.77
core-api-read-write-ledger,baseline,3,0,0,340610,308040.33,3919.33,0.00,0.00,301586.00,312154.00,202883.50,416140.50,104181.00,530695.00,0.00000000,1.54020167,0.09798333,1.57790500,1.63818500,1.08848750,2.15774250,0.59907000,2.73758000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
core-api-read-write-ledger,tokenwarden,3,0,0,167293,182502.33,7376.67,0.00,0.00,176385.00,191095.00,131473.00,243362.00,86561.00,310339.00,0.00000000,0.91251167,0.18441667,0.97662500,1.09692833,0.74090500,1.39280000,0.50518500,1.80897500,215025.00,121059.00,41.52,14.50,0.92860500,0.54125667,33.92,12.96
core-api-read-write-ledger,openslimedit,3,0,0,714940,873109.00,8321.00,0.00,0.00,702742.00,882022.67,527249.00,1147156.00,351756.00,1591570.00,0.00000000,4.36554500,0.20802500,3.62039000,4.57357000,2.72693500,5.94361500,1.83348000,8.26684000,-172047.00,-569868.67,-32.42,-492.25,-0.88281000,-2.93538500,-32.25,-442.80
core-api-read-write-ledger,dcp,3,0,0,384716,332751.00,4427.33,0.00,0.00,302374.00,337360.33,293267.50,363960.00,284161.00,425546.00,0.00000000,1.66375500,0.11068333,1.61791500,1.77443833,1.55426500,1.91635000,1.49061500,2.21478500,17425.00,-25206.33,5.78,-54.88,0.08729000,-0.13625333,5.53,-48.48
core-api-read-write-ledger,openrtk,3,1,0,160861,112025.00,2833.00,0.00,0.00,105430.00,115177.67,60278.00,165203.50,15126.00,224977.00,0.00000000,0.56012500,0.07082500,0.58774500,0.63095000,0.34220000,0.89809750,0.09665500,1.20845000,89055.00,196976.33,80.13,63.67,0.50241500,1.00723500,78.53,61.94
react-state-bug-fix,baseline,3,0,0,43789,38153.33,786.33,0.00,0.00,31691.00,39361.33,31020.50,43867.00,30350.00,56043.00,0.00000000,0.19076667,0.01965833,0.16861500,0.21042500,0.16592250,0.23402250,0.16323000,0.29943000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
react-state-bug-fix,tokenwarden,3,0,0,44927,43580.33,780.33,0.00,0.00,33816.00,45033.33,33407.00,51051.00,32998.00,68286.00,0.00000000,0.21790167,0.01950833,0.18030500,0.23741000,0.17896750,0.26730000,0.17763000,0.35429500,-2648.00,-5672.00,-8.72,-12.43,-0.01440000,-0.02698500,-8.82,-11.36
react-state-bug-fix,openslimedit,3,0,0,51320,41082.33,1028.67,0.00,0.00,34694.00,42699.67,28106.50,53290.00,21519.00,71886.00,0.00000000,0.20541167,0.02571667,0.19066000,0.23112833,0.15445250,0.28757000,0.11824500,0.38448000,-4344.00,-3338.33,-14.31,-26.51,-0.02743000,-0.02070333,-16.80,-28.11
react-state-bug-fix,dcp,3,0,0,59048,52998.67,838.33,0.00,0.00,57403.00,54010.33,52202.50,57514.50,47002.00,57626.00,0.00000000,0.26499333,0.02095833,0.30419000,0.28595167,0.27589000,0.30513250,0.24759000,0.30607500,-25935.00,-14649.00,-81.84,-51.61,-0.13557500,-0.07552667,-80.41,-50.20
react-state-bug-fix,openrtk,3,0,0,48451,39199.00,734.67,0.00,0.00,41624.00,40399.33,36258.50,45152.50,30893.00,48681.00,0.00000000,0.19599500,0.01836667,0.21850500,0.21436167,0.19190250,0.23889250,0.16530000,0.25928000,-9933.00,-1038.00,-31.34,-15.62,-0.04989000,-0.00393667,-29.59,-14.55
next-api-route-fix,baseline,3,0,0,31733,29374.33,708.67,0.00,0.00,30228.00,30221.00,30207.00,30238.50,30186.00,30249.00,0.00000000,0.14687167,0.01771667,0.16385500,0.16458833,0.16378500,0.16502500,0.16371500,0.16619500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
next-api-route-fix,tokenwarden,3,0,0,47166,49003.67,946.00,0.00,0.00,53238.00,50106.33,43121.50,58657.00,33005.00,64076.00,0.00000000,0.24501833,0.02365000,0.28521000,0.26866833,0.23122750,0.31438000,0.17724500,0.34355000,-23052.00,-19885.33,-76.37,-65.79,-0.12149500,-0.10408000,-74.21,-63.03
next-api-route-fix,openslimedit,3,0,0,60430,44751.33,1104.33,0.00,0.00,36912.00,46336.67,36536.50,51424.50,36161.00,65937.00,0.00000000,0.22375667,0.02760833,0.20553500,0.25136500,0.20357250,0.27624250,0.20161000,0.34695000,-6663.00,-16115.67,-22.03,-53.32,-0.04182000,-0.08677667,-25.54,-52.87
next-api-route-fix,dcp,3,0,0,43811,35658.33,737.67,0.00,0.00,36588.00,36514.33,36471.50,36594.00,36355.00,36600.00,0.00000000,0.17829167,0.01844167,0.19732500,0.19673333,0.19614000,0.19762250,0.19495500,0.19792000,-6351.00,-6293.33,-21.00,-20.82,-0.03124000,-0.03214500,-19.08,-19.53
next-api-route-fix,openrtk,3,0,0,44953,43813.67,804.00,0.00,0.00,49315.00,44837.00,39612.50,52300.50,29910.00,55286.00,0.00000000,0.21906833,0.02010000,0.26821500,0.23916833,0.21472250,0.27813750,0.16123000,0.28806000,-19129.00,-14616.00,-63.37,-48.36,-0.10450000,-0.07458000,-63.83,-45.18
cli-flag-parsing-fix,baseline,3,1,0,206848,168072.67,3072.00,0.00,0.00,226830.00,173420.33,120354.00,253191.50,13878.00,279553.00,0.00000000,0.84036333,0.07680000,1.18640500,0.91716333,0.62911250,1.33983500,0.07182000,1.49326500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
cli-flag-parsing-fix,tokenwarden,3,0,0,52494,661179.67,5417.33,0.00,0.00,52977.00,671533.00,52712.00,981076.00,52447.00,1909175.00,0.00000000,3.30589833,0.13543333,0.28727000,3.44133167,0.28489500,5.02073750,0.28252000,9.75420500,-38569.00,-498112.67,-277.91,-261.40,-0.21070000,-2.52416833,-293.37,-256.93
cli-flag-parsing-fix,openslimedit,3,0,0,284033,236172.00,4027.67,0.00,0.00,183600.00,245466.00,113493.00,346506.00,43386.00,509412.00,0.00000000,1.18086000,0.10069167,0.94709500,1.28155167,0.59733750,1.79853750,0.24758000,2.64998000,-29508.00,-72045.67,-82.22,-91.93,-0.17576000,-0.36438833,-77.46,-100.67
cli-flag-parsing-fix,dcp,3,0,0,280113,595890.67,7597.00,0.00,0.00,497011.00,604391.00,277399.00,877693.00,57787.00,1258375.00,0.00000000,2.97945333,0.18992500,2.64635000,3.16937833,1.47862750,4.59861500,0.31090500,6.55088000,-217458.00,-430970.67,-77.79,-2990.22,-1.15308500,-2.25221500,-77.22,-3008.22
cli-flag-parsing-fix,openrtk,3,0,0,47695,46798.67,1239.67,0.00,0.00,30961.00,48576.67,30582.00,57763.50,30203.00,84566.00,0.00000000,0.23399333,0.03099167,0.16671000,0.26498500,0.16624000,0.31459250,0.16577000,0.46247500,142264.00,124843.67,62.72,11.34,0.72393000,0.65217833,61.02,6.35
large-test-log-debug,baseline,3,0,0,41847,37770.67,566.00,0.00,0.00,40890.00,38536.33,36659.50,41590.00,32429.00,42290.00,0.00000000,0.18885333,0.01415000,0.21681000,0.20300333,0.19384750,0.21906250,0.17088500,0.22131500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
large-test-log-debug,tokenwarden,3,0,0,36212,45458.67,551.67,0.00,0.00,32251.00,46199.67,32171.50,53253.50,32092.00,74256.00,0.00000000,0.22729333,0.01379167,0.17078000,0.24108500,0.17008750,0.27693000,0.16939500,0.38308000,178.00,-7663.33,0.55,-18.98,0.00149000,-0.03808167,0.87,-17.66
