platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,baseline,routing-read-write-ledger,1,false,false,true,false,723515,138560,2149,99072,0,239781,0.796061,0.69280000,0.05372500,0.74652500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,routing-read-write-ledger,1,false,false,false,false,318345,149993,5910,122786,0,278689,0.9591080000000001,0.74996500,0.14775000,0.89771500,-38908,-16.23,-0.15119000,-20.25
claude-code,context-mode,routing-read-write-ledger,1,false,false,false,false,618247,286411,6453,186590,0,479454,1.6866750000000001,1.43205500,0.16132500,1.59338000,-239673,-99.95,-0.84685500,-113.44
claude-code,rtk,routing-read-write-ledger,1,false,false,false,false,372339,213146,5033,163757,0,381936,1.2734334999999999,1.06573000,0.12582500,1.19155500,-142155,-59.29,-0.44503000,-59.61
claude-code,caveman,routing-read-write-ledger,1,false,false,false,false,344803,245555,4491,195558,0,445604,1.4378290000000002,1.22777500,0.11227500,1.34005000,-205823,-85.84,-0.59352500,-79.51
claude-code,baseline,helper-read-write-ledger,1,false,false,false,false,374382,129535,6499,94231,0,230265,0.8572655,0.64767500,0.16247500,0.81015000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,helper-read-write-ledger,1,false,false,false,false,229112,86899,4347,65979,0,157225,0.5761595,0.43449500,0.10867500,0.54317000,73040,31.72,0.26698000,32.95
claude-code,context-mode,helper-read-write-ledger,1,false,false,false,false,194501,90695,3813,83118,0,177626,0.590359,0.45347500,0.09532500,0.54880000,52639,22.86,0.26135000,32.26
claude-code,rtk,helper-read-write-ledger,1,false,false,true,false,348887,546514,5586,509974,0,1062074,3.1272070000000003,2.73257000,0.13965000,2.87222000,-831809,-361.24,-2.06207000,-254.53
claude-code,caveman,helper-read-write-ledger,1,false,false,false,false,291439,116738,4520,81105,0,202363,0.7372425,0.58369000,0.11300000,0.69669000,27902,12.12,0.11346000,14.00
claude-code,baseline,core-api-read-write-ledger,1,false,false,false,false,537319,521151,5241,437601,0,963993,2.9555805,2.60575500,0.13102500,2.73678000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,core-api-read-write-ledger,1,false,false,false,false,312899,157932,6338,138061,0,302331,1.0171405,0.78966000,0.15845000,0.94811000,661662,68.64,1.78867000,65.36
claude-code,context-mode,core-api-read-write-ledger,1,false,false,false,false,557074,202176,5143,117061,0,324380,1.1979855,1.01088000,0.12857500,1.13945500,639613,66.35,1.59732500,58.37
claude-code,rtk,core-api-read-write-ledger,1,false,false,true,false,603825,220031,1781,139508,0,361320,1.214434,1.10015500,0.04452500,1.14468000,602673,62.52,1.59210000,58.17
claude-code,caveman,core-api-read-write-ledger,1,false,false,true,false,532285,373570,5266,289477,0,668313,2.1442385,1.86785000,0.13165000,1.99950000,295680,30.67,0.73728000,26.94
claude-code,baseline,react-state-bug-fix,1,false,false,false,false,48814,28311,934,24449,0,53694,0.1771295,0.14155500,0.02335000,0.16490500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,react-state-bug-fix,1,false,false,false,false,89635,49432,1898,44255,0,95585,0.3167375,0.24716000,0.04745000,0.29461000,-41891,-78.02,-0.12970500,-78.65
claude-code,context-mode,react-state-bug-fix,1,false,false,false,false,69154,51571,940,45568,0,98079,0.304139,0.25785500,0.02350000,0.28135500,-44385,-82.66,-0.11645000,-70.62
claude-code,rtk,react-state-bug-fix,1,false,false,false,false,47215,22823,863,18849,0,42535,0.14511449999999998,0.11411500,0.02157500,0.13569000,11159,20.78,0.02921500,17.72
claude-code,caveman,react-state-bug-fix,1,false,false,false,false,54655,40552,975,35384,0,76911,0.24482700000000002,0.20276000,0.02437500,0.22713500,-23217,-43.24,-0.06223000,-37.74
claude-code,baseline,next-api-route-fix,1,false,false,false,false,50196,21917,1011,18283,0,41211,0.1440015,0.10958500,0.02527500,0.13486000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,next-api-route-fix,1,false,false,false,false,139249,100042,2978,92188,0,195208,0.620754,0.50021000,0.07445000,0.57466000,-153997,-373.68,-0.43980000,-326.12
claude-code,context-mode,next-api-route-fix,1,false,false,false,false,109586,98211,1796,90318,0,190325,0.581114,0.49105500,0.04490000,0.53595500,-149114,-361.83,-0.40109500,-297.42
claude-code,rtk,next-api-route-fix,1,false,false,false,false,72189,39097,1427,34038,0,74562,0.248179,0.19548500,0.03567500,0.23116000,-33351,-80.93,-0.09630000,-71.41
claude-code,caveman,next-api-route-fix,1,false,false,false,false,105701,72065,2107,64119,0,138291,0.4450595,0.36032500,0.05267500,0.41300000,-97080,-235.57,-0.27814000,-206.24
claude-code,baseline,cli-flag-parsing-fix,1,false,false,false,false,83798,36730,1831,32458,0,71019,0.245654,0.18365000,0.04577500,0.22942500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,cli-flag-parsing-fix,1,false,false,false,false,72167,39279,1496,34607,0,75382,0.2510985,0.19639500,0.03740000,0.23379500,-4363,-6.14,-0.00437000,-1.90
claude-code,context-mode,cli-flag-parsing-fix,1,false,false,false,false,79101,51629,1064,45568,0,98261,0.307529,0.25814500,0.02660000,0.28474500,-27242,-38.36,-0.05532000,-24.11
claude-code,rtk,cli-flag-parsing-fix,1,false,false,false,false,115982,73147,2507,67828,0,143482,0.46232399999999996,0.36573500,0.06267500,0.42841000,-72463,-102.03,-0.19898500,-86.73
claude-code,caveman,cli-flag-parsing-fix,1,false,false,false,false,71308,41319,1380,35729,0,78428,0.25895949999999995,0.20659500,0.03450000,0.24109500,-7409,-10.43,-0.01167000,-5.09
claude-code,baseline,large-test-log-debug,1,false,false,false,false,62503,34010,1010,25404,0,60424,0.208002,0.17005000,0.02525000,0.19530000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,large-test-log-debug,1,false,false,false,false,48648,26385,710,19010,0,46105,0.15918,0.13192500,0.01775000,0.14967500,14319,23.70,0.04562500,23.36
claude-code,context-mode,large-test-log-debug,1,false,false,false,false,71822,55830,833,49297,0,105960,0.3246235,0.27915000,0.02082500,0.29997500,-45536,-75.36,-0.10467500,-53.60
claude-code,rtk,large-test-log-debug,1,false,false,false,false,52917,34304,928,29177,0,64409,0.2093085,0.17152000,0.02320000,0.19472000,-3985,-6.60,0.00058000,0.30
claude-code,caveman,large-test-log-debug,1,false,false,false,false,40247,31064,657,26630,0,58351,0.18506,0.15532000,0.01642500,0.17174500,2073,3.43,0.02355500,12.06
claude-code,baseline,typecheck-flood-debug,1,false,false,true,false,46154,26739,905,23256,0,50900,0.167948,0.13369500,0.02262500,0.15632000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,typecheck-flood-debug,1,false,false,true,false,46777,31275,850,26775,0,58900,0.1910125,0.15637500,0.02125000,0.17762500,-8000,-15.72,-0.02130500,-13.63
claude-code,context-mode,typecheck-flood-debug,1,false,false,true,false,58868,50860,916,45056,0,96832,0.299728,0.25430000,0.02290000,0.27720000,-45932,-90.24,-0.12088000,-77.33
