platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,rtk,typecheck-flood-debug,1,false,false,true,false,43895,27461,794,23753,0,52008,0.1690315,0.13730500,0.01985000,0.15715500,-1108,-2.18,-0.00083500,-0.53
claude-code,caveman,typecheck-flood-debug,1,false,false,true,false,36838,24299,597,20133,0,45029,0.14648650000000002,0.12149500,0.01492500,0.13642000,5871,11.53,0.01990000,12.73
claude-code,baseline,build-failure-debug,1,false,false,false,false,45436,26390,888,23127,0,50405,0.1657135,0.13195000,0.02220000,0.15415000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,build-failure-debug,1,false,false,false,false,45606,23228,884,19595,0,43707,0.14803750000000002,0.11614000,0.02210000,0.13824000,6698,13.29,0.01591000,10.32
claude-code,context-mode,build-failure-debug,1,false,false,false,false,58595,50423,663,45056,0,96142,0.291218,0.25211500,0.01657500,0.26869000,-45737,-90.74,-0.11454000,-74.30
claude-code,rtk,build-failure-debug,1,false,false,false,false,46064,22711,846,18869,0,42426,0.1441395,0.11355500,0.02115000,0.13470500,7979,15.83,0.01944500,12.61
claude-code,caveman,build-failure-debug,1,false,false,false,false,31781,23935,471,19953,0,44359,0.14142649999999998,0.11967500,0.01177500,0.13145000,6046,11.99,0.02270000,14.73
claude-code,baseline,multi-file-rename-migration,1,false,false,false,false,54308,26254,1120,22744,0,50118,0.17064200000000002,0.13127000,0.02800000,0.15927000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,multi-file-rename-migration,1,false,false,false,false,63578,30037,1293,25837,0,57167,0.1954285,0.15018500,0.03232500,0.18251000,-7049,-14.06,-0.02324000,-14.59
claude-code,context-mode,multi-file-rename-migration,1,false,false,false,false,73872,65075,1285,59410,0,125770,0.387205,0.32537500,0.03212500,0.35750000,-75652,-150.95,-0.19823000,-124.46
claude-code,rtk,multi-file-rename-migration,1,false,false,false,false,62057,35365,1191,31366,0,67922,0.22228300000000004,0.17682500,0.02977500,0.20660000,-17804,-35.52,-0.04733000,-29.72
claude-code,caveman,multi-file-rename-migration,1,false,false,false,false,61149,31991,1197,27504,0,60692,0.203632,0.15995500,0.02992500,0.18988000,-10574,-21.10,-0.03061000,-19.22
claude-code,baseline,feature-add-small,1,false,false,false,false,43358,20568,847,17204,0,38619,0.13261699999999998,0.10284000,0.02117500,0.12401500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,feature-add-small,1,false,false,false,false,47394,22954,902,18924,0,42780,0.146782,0.11477000,0.02255000,0.13732000,-4161,-10.77,-0.01330500,-10.73
claude-code,context-mode,feature-add-small,1,false,false,false,false,65644,50786,806,45056,0,96648,0.296608,0.25393000,0.02015000,0.27408000,-58029,-150.26,-0.15006500,-121.01
claude-code,rtk,feature-add-small,1,false,false,false,false,46507,22197,863,18537,0,41597,0.1418285,0.11098500,0.02157500,0.13256000,-2978,-7.71,-0.00854500,-6.89
claude-code,caveman,feature-add-small,1,false,false,false,false,37320,24323,596,20083,0,45002,0.1465565,0.12161500,0.01490000,0.13651500,-6383,-16.53,-0.01250000,-10.08
claude-code,baseline,refactor-no-behavior-change,1,false,false,false,false,44160,20660,895,17730,0,39285,0.13454,0.10330000,0.02237500,0.12567500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,refactor-no-behavior-change,1,false,false,false,false,43480,22984,836,19469,0,43289,0.1455545,0.11492000,0.02090000,0.13582000,-4004,-10.19,-0.01014500,-8.07
claude-code,context-mode,refactor-no-behavior-change,1,false,false,false,false,47393,50737,681,45581,0,96999,0.2935005,0.25368500,0.01702500,0.27071000,-57714,-146.91,-0.14503500,-115.40
claude-code,rtk,refactor-no-behavior-change,1,false,false,false,false,42716,22193,779,18837,0,41809,0.1398585,0.11096500,0.01947500,0.13044000,-2524,-6.42,-0.00476500,-3.79
claude-code,caveman,refactor-no-behavior-change,1,false,false,false,false,64697,46143,1216,40528,0,87887,0.281379,0.23071500,0.03040000,0.26111500,-48602,-123.72,-0.13544000,-107.77
claude-code,baseline,code-review-diagnosis,1,false,false,true,false,54217,9401,1211,6756,0,17368,0.080658,0.04700500,0.03027500,0.07728000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,code-review-diagnosis,1,false,false,true,false,41058,16513,789,13196,0,30498,0.10888800000000001,0.08256500,0.01972500,0.10229000,-13130,-75.60,-0.02501000,-32.36
claude-code,context-mode,code-review-diagnosis,1,false,false,true,false,96158,52354,1635,46409,0,100398,0.3258495,0.26177000,0.04087500,0.30264500,-83030,-478.06,-0.22536500,-291.62
claude-code,rtk,code-review-diagnosis,1,false,false,true,false,75879,27843,1647,24591,0,54081,0.1926855,0.13921500,0.04117500,0.18039000,-36713,-211.38,-0.10311000,-133.42
claude-code,caveman,code-review-diagnosis,1,false,false,true,false,38362,23990,671,20222,0,44883,0.146836,0.11995000,0.01677500,0.13672500,-27515,-158.42,-0.05944500,-76.92
claude-code,baseline,docs-from-code,1,false,false,false,false,32873,14547,621,11840,0,27008,0.09418000000000001,0.07273500,0.01552500,0.08826000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,docs-from-code,1,false,false,false,false,47238,16658,964,13370,0,30992,0.114075,0.08329000,0.02410000,0.10739000,-3984,-14.75,-0.01913000,-21.67
claude-code,context-mode,docs-from-code,1,false,false,false,false,65628,76038,1165,71579,0,148782,0.44510450000000007,0.38019000,0.02912500,0.40931500,-121774,-450.88,-0.32105500,-363.76
claude-code,rtk,docs-from-code,1,false,false,false,false,58097,39190,1179,35864,0,76233,0.24335700000000002,0.19595000,0.02947500,0.22542500,-49225,-182.26,-0.13716500,-155.41
claude-code,caveman,docs-from-code,1,false,false,false,false,44325,24125,808,20251,0,45184,0.15095050000000002,0.12062500,0.02020000,0.14082500,-18176,-67.30,-0.05256500,-59.56
claude-code,baseline,routing-read-write-ledger,2,false,false,false,false,373885,219872,5297,170896,0,396065,1.317233,1.09936000,0.13242500,1.23178500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,routing-read-write-ledger,2,false,false,false,false,316139,201964,6002,176890,0,384856,1.2483149999999998,1.00982000,0.15005000,1.15987000,11209,2.83,0.07191500,5.84
claude-code,context-mode,routing-read-write-ledger,2,false,false,false,false,539332,218311,8275,162989,0,389575,1.3799245,1.09155500,0.20687500,1.29843000,6490,1.64,-0.06664500,-5.41
claude-code,rtk,routing-read-write-ledger,2,false,false,false,false,359208,248667,4859,199269,0,452795,1.4644445,1.24333500,0.12147500,1.36481000,-56730,-14.32,-0.13302500,-10.80
claude-code,caveman,routing-read-write-ledger,2,false,false,false,false,350617,284718,4638,234712,0,524068,1.6568960000000001,1.42359000,0.11595000,1.53954000,-128003,-32.32,-0.30775500,-24.98
claude-code,baseline,helper-read-write-ledger,2,false,false,false,false,312586,90116,5194,55496,0,150806,0.608178,0.45058000,0.12985000,0.58043000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,helper-read-write-ledger,2,false,false,false,false,485355,354462,6915,297017,0,658394,2.0936935,1.77231000,0.17287500,1.94518500,-507588,-336.58,-1.36475500,-235.13
claude-code,context-mode,helper-read-write-ledger,2,false,false,false,false,326149,317536,4929,282929,0,605394,1.8523694999999998,1.58768000,0.12322500,1.71090500,-454588,-301.44,-1.13047500,-194.77
claude-code,rtk,helper-read-write-ledger,2,false,false,false,false,331192,236384,5336,200387,0,442107,1.4155134999999999,1.18192000,0.13340000,1.31532000,-291301,-193.16,-0.73489000,-126.61
claude-code,caveman,helper-read-write-ledger,2,false,false,true,false,293710,185351,4517,149602,0,339470,1.1144809999999998,0.92675500,0.11292500,1.03968000,-188664,-125.10,-0.45925000,-79.12
claude-code,baseline,core-api-read-write-ledger,2,false,false,true,false,574757,337747,5752,252077,0,595576,1.9585735,1.68873500,0.14380000,1.83253500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,core-api-read-write-ledger,2,false,false,false,false,238836,68753,4754,50880,0,124387,0.488055,0.34376500,0.11885000,0.46261500,471189,79.11,1.36992000,74.76
claude-code,context-mode,core-api-read-write-ledger,2,false,false,true,false,676902,139425,2340,130142,0,271907,1.4501369999999998,0.69712500,0.05850000,0.75562500,323669,54.35,1.07691000,58.77
claude-code,rtk,core-api-read-write-ledger,2,false,false,false,false,533364,420619,5156,337255,0,763030,2.4006225,2.10309500,0.12890000,2.23199500,-167454,-28.12,-0.39946000,-21.80
claude-code,caveman,core-api-read-write-ledger,2,false,false,false,false,482389,339911,4262,256868,0,601041,1.934539,1.69955500,0.10655000,1.80610500,-5465,-0.92,0.02643000,1.44
claude-code,baseline,react-state-bug-fix,2,false,false,false,false,59004,21976,1249,18480,0,41705,0.150345,0.10988000,0.03122500,0.14110500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,react-state-bug-fix,2,false,false,false,false,67077,46811,1259,41213,0,89283,0.28613649999999996,0.23405500,0.03147500,0.26553000,-47578,-114.08,-0.12442500,-88.18
claude-code,context-mode,react-state-bug-fix,2,false,false,false,false,84170,66629,1142,60409,0,128180,0.39189949999999996,0.33314500,0.02855000,0.36169500,-86475,-207.35,-0.22059000,-156.33
claude-code,rtk,react-state-bug-fix,2,false,false,false,false,45109,22878,830,19085,0,42793,0.1446825,0.11439000,0.02075000,0.13514000,-1088,-2.61,0.00596500,4.23
claude-code,caveman,react-state-bug-fix,2,false,false,false,false,39272,25116,640,20702,0,46458,0.15193099999999998,0.12558000,0.01600000,0.14158000,-4753,-11.40,-0.00047500,-0.34
claude-code,baseline,next-api-route-fix,2,false,false,false,false,47962,21459,946,17583,0,39988,0.13973649999999999,0.10729500,0.02365000,0.13094500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,next-api-route-fix,2,false,false,false,false,93602,42131,1997,36450,0,80578,0.27880499999999997,0.21065500,0.04992500,0.26058000,-40590,-101.51,-0.12963500,-99.00
claude-code,context-mode,next-api-route-fix,2,false,false,false,false,71669,51793,879,45960,0,98632,0.30391999999999997,0.25896500,0.02197500,0.28094000,-58644,-146.65,-0.14999500,-114.55
claude-code,rtk,next-api-route-fix,2,false,false,false,false,102290,66573,2088,59851,0,128512,0.4149905,0.33286500,0.05220000,0.38506500,-88524,-221.38,-0.25412000,-194.07
claude-code,caveman,next-api-route-fix,2,false,false,false,false,48391,25461,856,20654,0,46971,0.159032,0.12730500,0.02140000,0.14870500,-6983,-17.46,-0.01776000,-13.56
claude-code,baseline,cli-flag-parsing-fix,2,false,false,false,false,81761,35937,1737,31254,0,68928,0.23873699999999998,0.17968500,0.04342500,0.22311000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,cli-flag-parsing-fix,2,false,false,false,false,73056,39041,1495,34071,0,74607,0.2496155,0.19520500,0.03737500,0.23258000,-5679,-8.24,-0.00947000,-4.24
claude-code,context-mode,cli-flag-parsing-fix,2,false,false,false,false,109944,81672,1720,74488,0,157880,0.488604,0.40836000,0.04300000,0.45136000,-88952,-129.05,-0.22825000,-102.30
claude-code,rtk,cli-flag-parsing-fix,2,false,false,false,false,64087,29677,1308,25735,0,56720,0.1939525,0.14838500,0.03270000,0.18108500,12208,17.71,0.04202500,18.84
claude-code,caveman,cli-flag-parsing-fix,2,false,false,false,false,84441,49686,1759,44619,0,96064,0.3147145,0.24843000,0.04397500,0.29240500,-27136,-39.37,-0.06929500,-31.06
claude-code,baseline,large-test-log-debug,2,false,false,false,false,49419,30211,910,25601,0,56722,0.1866055,0.15105500,0.02275000,0.17380500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,large-test-log-debug,2,false,false,false,false,48397,29659,907,25539,0,56105,0.1837395,0.14829500,0.02267500,0.17097000,617,1.09,0.00283500,1.63
claude-code,context-mode,large-test-log-debug,2,false,false,false,false,69199,66044,841,60052,0,126937,0.381271,0.33022000,0.02102500,0.35124500,-70215,-123.79,-0.17744000,-102.09
claude-code,rtk,large-test-log-debug,2,false,false,false,false,62346,34719,862,24558,0,60139,0.207424,0.17359500,0.02155000,0.19514500,-3417,-6.02,-0.02134000,-12.28
claude-code,caveman,large-test-log-debug,2,false,false,false,false,34241,24150,528,20068,0,44746,0.143984,0.12075000,0.01320000,0.13395000,11976,21.11,0.03985500,22.93
claude-code,baseline,typecheck-flood-debug,2,false,false,true,false,48083,20707,986,17613,0,39306,0.13699150000000002,0.10353500,0.02465000,0.12818500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,typecheck-flood-debug,2,false,false,true,false,47615,22778,931,19149,0,42858,0.1467395,0.11389000,0.02327500,0.13716500,-3552,-9.04,-0.00898000,-7.01
claude-code,context-mode,typecheck-flood-debug,2,false,false,true,false,55008,50654,848,45056,0,96558,0.296998,0.25327000,0.02120000,0.27447000,-57252,-145.66,-0.14628500,-114.12
claude-code,rtk,typecheck-flood-debug,2,false,false,true,false,47908,30340,858,25874,0,57072,0.18608700000000003,0.15170000,0.02145000,0.17315000,-17766,-45.20,-0.04496500,-35.08
claude-code,caveman,typecheck-flood-debug,2,false,false,true,false,37922,24380,614,20157,0,45151,0.1473285,0.12190000,0.01535000,0.13725000,-5845,-14.87,-0.00906500,-7.07
claude-code,baseline,build-failure-debug,2,false,false,false,false,36986,20135,710,17054,0,37899,0.12695199999999998,0.10067500,0.01775000,0.11842500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,build-failure-debug,2,false,false,false,false,36638,22336,642,18382,0,41360,0.13692100000000001,0.11168000,0.01605000,0.12773000,-3461,-9.13,-0.00930500,-7.86
claude-code,context-mode,build-failure-debug,2,false,false,false,false,65346,62745,728,57168,0,120641,0.360509,0.31372500,0.01820000,0.33192500,-82742,-218.32,-0.21350000,-180.28
claude-code,rtk,build-failure-debug,2,false,false,false,false,40203,21712,719,18366,0,40797,0.135718,0.10856000,0.01797500,0.12653500,-2898,-7.65,-0.00811000,-6.85
claude-code,caveman,build-failure-debug,2,false,false,false,false,35919,23973,578,19834,0,44385,0.14423199999999997,0.11986500,0.01445000,0.13431500,-6486,-17.11,-0.01589000,-13.42
claude-code,baseline,multi-file-rename-migration,2,false,false,false,false,60458,26759,1273,23194,0,51226,0.17721699999999999,0.13379500,0.03182500,0.16562000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,multi-file-rename-migration,2,false,false,false,false,63242,29522,1292,25455,0,56269,0.19263750000000002,0.14761000,0.03230000,0.17991000,-5043,-9.84,-0.01429000,-8.63
claude-code,context-mode,multi-file-rename-migration,2,false,false,false,false,81249,78600,1461,72598,0,152659,0.465824,0.39300000,0.03652500,0.42952500,-101433,-198.01,-0.26390500,-159.34
claude-code,rtk,multi-file-rename-migration,2,false,false,false,false,52633,34229,1023,30732,0,65984,0.21208599999999997,0.17114500,0.02557500,0.19672000,-14758,-28.81,-0.03110000,-18.78
claude-code,caveman,multi-file-rename-migration,2,false,false,false,false,57479,31608,1087,26750,0,59445,0.19859,0.15804000,0.02717500,0.18521500,-8219,-16.04,-0.01959500,-11.83
claude-code,baseline,feature-add-small,2,false,false,false,false,43345,20595,838,17451,0,38884,0.1326505,0.10297500,0.02095000,0.12392500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,feature-add-small,2,false,false,false,false,45783,22930,867,19147,0,42944,0.14589850000000001,0.11465000,0.02167500,0.13632500,-4060,-10.44,-0.01240000,-10.01
claude-code,context-mode,feature-add-small,2,false,false,false,false,60148,50672,703,45056,0,96431,0.29346300000000003,0.25336000,0.01757500,0.27093500,-57547,-148.00,-0.14701000,-118.63
claude-code,rtk,feature-add-small,2,false,false,false,false,41173,22085,741,18465,0,41291,0.13818249999999999,0.11042500,0.01852500,0.12895000,-2407,-6.19,-0.00502500,-4.05
claude-code,caveman,feature-add-small,2,false,false,false,false,44996,24533,786,20193,0,45512,0.1524115,0.12266500,0.01965000,0.14231500,-6628,-17.05,-0.01839000,-14.84
claude-code,baseline,refactor-no-behavior-change,2,false,false,false,false,52352,37484,1067,34274,0,72825,0.231232,0.18742000,0.02667500,0.21409500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,refactor-no-behavior-change,2,false,false,false,false,43513,22887,819,19126,0,42832,0.144473,0.11443500,0.02047500,0.13491000,29993,41.19,0.07918500,36.99
claude-code,context-mode,refactor-no-behavior-change,2,false,false,false,false,47048,50727,660,45575,0,96962,0.29292250000000003,0.25363500,0.01650000,0.27013500,-24137,-33.14,-0.05604000,-26.18
claude-code,rtk,refactor-no-behavior-change,2,false,false,false,false,37557,22053,642,18693,0,41388,0.1356615,0.11026500,0.01605000,0.12631500,31437,43.17,0.08778000,41.00
claude-code,caveman,refactor-no-behavior-change,2,false,false,true,false,60579,47479,965,42675,0,91119,0.2828575,0.23739500,0.02412500,0.26152000,-18294,-25.12,-0.04742500,-22.15
claude-code,baseline,code-review-diagnosis,2,false,false,true,false,81503,33042,1830,29319,0,64191,0.2256195,0.16521000,0.04575000,0.21096000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,code-review-diagnosis,2,false,false,true,false,61434,17003,1325,13686,0,32014,0.124983,0.08501500,0.03312500,0.11814000,32177,50.13,0.09282000,44.00
claude-code,context-mode,code-review-diagnosis,2,false,false,true,false,107027,38583,1991,34251,0,74825,0.2598155,0.19291500,0.04977500,0.24269000,-10634,-16.57,-0.03173000,-15.04
claude-code,rtk,code-review-diagnosis,2,false,false,true,false,67320,23061,1442,19692,0,44195,0.161201,0.11530500,0.03605000,0.15135500,19996,31.15,0.05960500,28.25
claude-code,caveman,code-review-diagnosis,2,false,false,true,false,94872,47333,2092,43131,0,92556,0.31053050000000004,0.23666500,0.05230000,0.28896500,-28365,-44.19,-0.07800500,-36.98
claude-code,baseline,docs-from-code,2,false,false,false,false,32492,14550,613,11843,0,27006,0.0939965,0.07275000,0.01532500,0.08807500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,docs-from-code,2,false,false,false,false,46908,22884,931,19298,0,43113,0.14734400000000003,0.11442000,0.02327500,0.13769500,-16107,-59.64,-0.04962000,-56.34
claude-code,context-mode,docs-from-code,2,false,false,false,false,63856,51094,834,45403,0,97331,0.2990215,0.25547000,0.02085000,0.27632000,-70325,-260.41,-0.18824500,-213.73
claude-code,rtk,docs-from-code,2,false,false,false,false,61548,42358,1186,37959,0,81503,0.26041949999999997,0.21179000,0.02965000,0.24144000,-54497,-201.80,-0.15336500,-174.13
claude-code,caveman,docs-from-code,2,false,false,false,false,73254,53090,1522,48823,0,103435,0.3279115,0.26545000,0.03805000,0.30350000,-76429,-283.01,-0.21542500,-244.59
claude-code,baseline,routing-read-write-ledger,3,false,false,false,false,433932,176869,6616,127893,0,311378,1.1136915,0.88434500,0.16540000,1.04974500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,routing-read-write-ledger,3,false,false,true,false,286501,192677,5480,170596,0,368753,1.185683,0.96338500,0.13700000,1.10038500,-57375,-18.43,-0.05064000,-4.82
claude-code,context-mode,routing-read-write-ledger,3,false,false,false,false,475755,160733,10210,148052,0,318995,1.1329410000000002,0.80366500,0.25525000,1.05891500,-7617,-2.45,-0.00917000,-0.87
claude-code,rtk,routing-read-write-ledger,3,false,false,false,false,389315,219206,5522,169817,0,394545,1.3189885,1.09603000,0.13805000,1.23408000,-83167,-26.71,-0.18433500,-17.56
claude-code,caveman,routing-read-write-ledger,3,false,false,false,false,336593,178488,4437,128518,0,311443,1.067624,0.89244000,0.11092500,1.00336500,-65,-0.02,0.04638000,4.42
claude-code,baseline,helper-read-write-ledger,3,false,false,true,false,351931,297380,5943,261798,0,565121,1.766374,1.48690000,0.14857500,1.63547500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,helper-read-write-ledger,3,false,false,true,false,339841,256651,6541,232263,0,495455,1.5629115000000002,1.28325500,0.16352500,1.44678000,69666,12.33,0.18869500,11.54
claude-code,context-mode,helper-read-write-ledger,3,false,false,false,false,500046,275998,8372,234999,0,519369,1.7067894999999997,1.37999000,0.20930000,1.58929000,45752,8.10,0.04618500,2.82
claude-code,rtk,helper-read-write-ledger,3,false,false,false,false,323118,296018,4965,257858,0,558841,1.7331439999999998,1.48009000,0.12412500,1.60421500,6280,1.11,0.03126000,1.91
claude-code,caveman,helper-read-write-ledger,3,false,false,false,false,305241,141815,4776,104576,0,251167,0.8807630000000001,0.70907500,0.11940000,0.82847500,313954,55.56,0.80700000,49.34
claude-code,baseline,core-api-read-write-ledger,3,false,false,false,false,536649,275477,5487,192115,0,473079,1.6106175,1.37738500,0.13717500,1.51456000,0,0.00,0.00000000,0.00
